KEY ID	Russian
PickAnomaly	Выберите аномалию
WaterPlantsGetCan	Лейка найдена!
AuthOfficeOkay	Офис: ОК
AuthCommsOkay	Связь: ОК
AuthOfficeActive	Офис: АКТИВНО
AuthCommsActive	Связь: АКТИВНО
AuthOfficeNotActive	Офис: НЕАКТИВНО
AuthCommsNotActive	Связь: НЕАКТИВНО
SecLogEntry	{0} проходит {1} сенсор
LogNorth	северный
LogSouthEast	юго-восточный
LogSouthWest	юго-западный
EnterName	Ваш ник
SwipeCardPleaseInsert	Вставьте карту
SwipeCardPleaseSwipe	Проведите картой
SwipeCardBadRead	Не прочитано. Повторите.
SwipeCardTooFast	Повторите медленнее.
SwipeCardTooSlow	Повторите быстрее.
SwipeCardAccepted	Принято. Спасибо.
ReactorHoldToStop	Удерживайте для остановки расплавления
ReactorWaiting	Ожидание второго пользователя
ReactorNominal	Реактор в норме
MeetingWhoIsTitle	Кто предатель?
MeetingVotingBegins	До начала голосования: {0} с
MeetingVotingEnds	До конца голосования: {0} с
MeetingVotingResults	Итоги голосования
MeetingProceeds	Продолжение через: {0} с
MeetingHasVoted	{0}: голос отдан. Не голосовало: {1}.
HowToPlayText1	Among Us — игра о командной работе и предательстве,\nгде игроки получают роль члена экипажа или предателя.
HowToPlayText2	Можно играть онлайн или по локальной беспроводной сети в команде от 4 до 15 человек!
HowToPlayText41	При создании игры можно установить собственные правила.
HowToPlayText42	Сначала выберите, с кем хотите сыграть!\n\nЕсли хотите играть с друзьями, создайте частную комнату и поделитесь с ними кодом.\n\nЧтобы сыграть со случайными игроками, сделайте комнату общей.
HowToPlayText43	Вам не хватает заданий? Или хочется бегать побыстрее? А может быть, нужно больше предателей? Создавая комнату, владелец может настроить игру по своему вкусу. Только не забудьте обсудить это с остальными!
HowToPlayText44	Владелец может выгнать игроков за грубое поведение или спам в чате либо полностью их заблокировать для своей онлайн-комнаты.
HowToPlayTextMap	У каждого игрока есть личная карта, которая поможет ориентироваться на корабле.
HowToPlayTextCrew1	Цель: заполнить шкалу заданий или вычислить предателя.
HowToPlayTextCrew2	Заполняйте шкалу, выполняя задания.
HowToPlayTextCrew3	Устраняйте последствия саботажа.
HowToPlayTextCrew4	Вычиcлили предателя? Созывайте собрание!
HowToPlayTextCrew5	Сообщайте о найденных трупах.
HowToPlayTextCrew6	Комнаты админа и охраны помогут засечь подозрительные действия.
HowToPlayTextImp1	Ваша цель: убить всех членов экипажа.
HowToPlayTextImp2	Смешивайтесь с толпой.
HowToPlayTextImp3	Пробирайтесь по вентиляции.
HowToPlayTextImp4	Притворяйтесь, что выполняете задания.
HowToPlayTextImp5	Занимайтесь саботажем и запутывайте других.
HowToPlayTextImp6	Блокируйте двери и готовьте засады.
HowToPlayTextImp7	Убивайте по окончании перезарядки.
HowToPlayText5	Играете вместе? Никаких разговоров! Игра должна быть честной.\n\nИгроки, убитые предателем, молчат до конца игры.\n\nПризраки по-прежнему могут выполнять задания, чтобы помочь команде победить.
HowToPlayText6	Если кто-то сообщил о трупе или созвал срочное собрание, команда пытается вычислить предателя.\n\nТеперь игроки могут открыто предполагать, кто предатель, и делиться наблюдениями. Если вы играете вместе, призраки должны молчать, поскольку им точно известно, кто предатель.\n\nПредатели попытаются доказать свою невиновность или перевести подозрения на другого игрока.
HowToPlayText7	После обсуждения проголосуйте за игрока, которого вы считаете предателем.\n\nИгрок, набравший большинство голосов, будет выброшен, так что хорошо обдумайте свое решение!\n\nЕсли имеющихся у вас сведений недостаточно, можно пропустить голосование, чтобы не выбросить невиновного и собрать больше информации.
HowToPlayText81	Практикуйтесь в режиме песочницы!
HowToPlayText82	Подберите себе задания, сыграв за члена экипажа, или отточите навыки убийства в роли предателя.
SettingsGeneral	Общее
SettingsControls	Управление
SettingsSound	Звук
SettingsGraphics	Графика
SettingsData	Данные
SettingsCensorChat	Фильтр чата
SettingsMusic	Музыка
SettingsSFX	Эффекты
SettingsOn	Вкл.
SettingsOff	Выкл.
SettingsSendTelemetry	Отправка телеметрии
SettingsControlMode	Режим управления
SettingsTouchMode	Касание
SettingsJoystickMode	Джойстик
SettingsKeyboardMode	Клавиатура/мышь
SettingsFullscreen	Полный экран
SettingsVSync	Верт. синхронизация
SettingsResolution	Разрешение
SettingsApply	Применить
SettingsPersonalizeAds	Подбор рекламы
SettingsLanguage	Язык
SettingsJoystickSize	Размер
SettingsMouseMode	Мышь
MatchMapName	Карта:
MatchLanguage	Чат:
MatchImpostors	Предателей:
MatchMaxPlayers	Игроков (макс.):
Cancel	Назад
Confirm	Подтверд.
PlayerColor	Цвет
PlayerHat	Шапка
PlayerSkin	Костюм
PlayerPet	Питомец
GameSettings	Игра
GameRecommendedSettings	Рекомендованные настройки
GameCustomSettings	Пользовательские настройки
GameMapName	Карта
GameNumImpostors	Предателей
GameNumMeetings	Срочных собраний
GameDiscussTime	Время на обсуждение
GameVotingTime	Время на голосование
GamePlayerSpeed	Скорость игроков
GameCrewLight	Дальность обзора членов экипажа
GameImpostorLight	Дальность обзора предателя
GameKillCooldown	Перезарядка для убийства
GameKillDistance	Дистанция убийств
GameCommonTasks	Обычных заданий
GameLongTasks	Долгих заданий
GameShortTasks	Быстрых заданий
GameEmergencyCooldown	Перерыв между собраниями
GameSecondsAbbrev	{0} с
GameConfirmImpostor	Показывать роль выброшенного
GameVisualTasks	Видимые задания
GameAnonymousVotes	Тайное голосование
GameTaskBarMode	Обновление шкалы заданий
SettingNormalTaskMode	Постоянно
SettingMeetingTaskMode	На собрании
SettingInvisibleTaskMode	Никогда
Limit	максимум; сейчас
RoomCode	Код
LeaveGame	Покинуть игру
ReturnToGame	Вернуться в игру
LocalHelp	Проблемы с соединением?\n\n● Убедитесь, что все игроки подключены к одной\nточке доступа Wi-Fi.\n● Убедитесь, что у всех игроков установлена одна версия игры (указана в левом верхнем углу).\n● Убедитесь, что сигнал Wi-Fi стабилен.\n● Попробуйте сменить владельца создаваемой игры.\n● Попробуйте перезапустить приложение...\n● Попробуйте перезапустить устройство...\n● Не получилось решить проблему? Напишите нам в Discord!
OnlineHelp	Как все устроено?\n\n● После создания игры вы увидите код рядом с кнопкой начала игры.\n● Поделитесь кодом с друзьями для создания\nчастной комнаты.\n● Нажмите «Частная», если хотите сделать комнату открытой для поиска другими игроками.\n● Владелец может выгнать или заблокировать любого игрока, если доступен чат.\n● Остались вопросы? Напишите нам в Discord!
EmergencyCount	СРОЧНЫХ СОБРАНИЙ, КОТОРЫЕ\n\n\n\nМОЖЕТ СОЗВАТЬ {0}:
EmergencyNotReady	ТРЕБУЕТСЯ ПОДОЖДАТЬ\n\n\n\nДО СЛЕДУЮЩЕГО СОБРАНИЯ:
EmergencyDuringCrisis	СРОЧНОЕ СОБРАНИЕ НЕЛЬЗЯ\nСОЗВАТЬ В КРИЗИС
EmergencyRequested	ЗАПРОС НА СРОЧНОЕ СОБРАНИЕ\n\n\n\nОЖИДАНИЕ ВЛАДЕЛЬЦА
AdPolicyTitle	Рекламная политика
AdPolicyText	Позвольте нам использовать ваши данные для подбора персонализированной рекламы. Если вы выберете «Да», наши партнеры Google AdMob и Unity Ads начнут автоматически собирать данные и использовать идентификаторы устройств и файлы cookie для подбора рекламы, соответствующей вашим интересам. Если нажать «Нет», вы все равно будете видеть стандартную рекламу. Можно также приобрести специальное обновление [httpstore]по этой ссылке[], и тогда в играх, владельцем которых вы являетесь, ни вы, ни ваши друзья рекламы видеть не будут! Чтобы узнать больше о практиках конфиденциальности наших партнеров по рекламе, см. нашу [https://innersloth.com/privacy.php]Политику конфиденциальности[]. Решение можно изменить в любой момент в разделе «Данные» меню настроек.
Accept	Принять
RemoveAds	Убрать рекламу
PlainYes	Да
PlainNo	Нет
PrivacyPolicyTitle	Политика конфиденциальности
PrivacyPolicyText	Обработкой персональных данных для Among Us занимается компания Innersloth. Ознакомьтесь с <link="https://innersloth.com/privacy.php">Политикой конфиденциальности</link>, чтобы узнать больше о том, как мы обеспечиваем конфиденциальность информации. Настройки персональных данных в Among Us находятся в разделе «Данные».
ManageDataButton	Настройка сбора данных
UnderstandButton	Я понимаю
WaterPlants	Полить растения
WeatherEta	Время:\n{0} с
WeatherComplete	Завершено
RunDiagnostics	Провести диагностику
SettingShort	Короткая
SettingMedium	Средняя
SettingLong	Большая
SamplesPress	Нажмите
SamplesAdding	Добавление реагента
SamplesSelect	Выберите аномалию
SamplesThanks	Спасибо!
SamplesComplete	Опыт завершен
AstDestroyed	Уничтожено: {0}
TaskTestTitle	Мегатестировщик заданий
BeginDiagnostics	Начать диагностику
UserLeftGame	{0} покидает игру.
GameStarting	Начало через {0}
ChatRateLimit	Слишком быстро. Подождите {0} с.
Tasks	Задания
MedscanRequested	Сканирование запрошено
MedscanWaitingFor	Ожидание: {0}
MedscanCompleted	Завершено!
MedscanCompleteIn	Завершение через {0}
StatsTitle	Статистика
StatsBodiesReported	Сообщений о трупах:\t
StatsEmergenciesCalled	Созвано срочных собраний:\t
StatsTasksCompleted	Выполнено заданий:\t
StatsAllTasksCompleted	Все задания выполнены:\t
StatsSabotagesFixed	Устранено саботажей:\t
StatsImpostorKills	Убийств при игре за предателя:\t\t
StatsTimesMurdered	Смертей:\t
StatsTimesEjected	Выбрасываний:\t\t
StatsCrewmateStreak	Игр за экипаж подряд:\t
StatsGamesImpostor	Игр за предателя:\t
StatsGamesCrewmate	Игр за экипаж:\t
StatsGamesStarted	Игр начато:\t
StatsGamesFinished	Игр завершено:\t
StatsImpostorVoteWins	Побед голосованием (предатель):\t
StatsImpostorKillsWins	Побед убийством (предатель):\t
StatsImpostorSabotageWins	Побед саботажем (предатель):\t
StatsCrewmateVoteWins	Побед голосованием (экипаж):\t
StatsCrewmateTaskWins	Побед заданиями (экипаж):\t
MonitorOxygen	Проверить дерево
StoreArtifacts	Сложить артефакты
FillCanisters	Наполнить баллоны
InsertKeys	Вставить ключи
ResetSeismic	Перезапустить сейсмостабилизаторы
SeismicHoldToStop	Удерживайте для активации сейсмостабилизаторов
SeismicNominal	Сейсмическая активность в норме
ScanBoardingPass	Проверить посадочный талон
FixWeatherNode	Починить
OpenWaterways	Открыть водопровод
ReplaceWaterJug	Заменить кулер
RepairDrill	Починить бур
AlignTelescope	Навести телескоп
RecordTemperature	Записать температуру
RebootWifi	Перезагруз. Wi-Fi
WifiRebootRequired	Выключить
WifiPleaseWait	Подождите
WifiPleaseReturnIn	Вернитесь через {0}
WifiPleasePowerOn	Включить
WifiRebootComplete	Готово
Outside	Снаружи
Dropship	Челнок
Decontamination2	Дезинфекция
Specimens	Пробы
BoilerRoom	Котельная
GameOverImpostorDead	В обычной игре экипаж бы победил, так как предатель мертв. В песочнице просто всех оживляют.
GameOverImpostorKills	В обычной игре предатель\nбы победил, так как экипаж уже не может выиграть. В песочнице просто всех оживляют.
GameOverTaskWin	В обычной игре экипаж бы победил, так как шкала заданий заполнена. В песочнице просто назначают новые задания.
GameOverSabotage	В обычной игре предатель\nбы победил, так как саботаж\nдостиг критического уровня.\nВ песочнице саботаж просто\nустраняется.
HowToPlayText2Switch	Можно играть онлайн в команде от 4 до 15 человек\n\nс членством Nintendo Switch Online или через локальный Wi-Fi!
VentDirection	Направление в вентиляции
VentMove	Движение по вентиляции
MenuNavigate	Навигация
NsoError	Не удаётся подключиться к сети.
ErrorServerOverload	Серверы Among Us перегружены.\r\n\r\nПовторите попытку позже.
ErrorIntentionalLeaving	Вы намеренно отключились от предыдущей игры и не можете присоединиться к новой еще {0} мин.
ErrorFocusLost	Вы были отключены, так как открыли другое приложение после запуска Among Us.
ErrorBanned	Вас заблокировали в комнате {0}.\r\n\r\nВ нее нельзя вернуться.
ErrorKicked	Вас исключили из комнаты {0}.\r\n\r\nЕсли игра еще не началась, вы можете вернуться.
ErrorBannedNoCode	Вас заблокировали в этой комнате.\r\n\r\nВ нее нельзя вернуться.
ErrorKickedNoCode	Вас исключили из этой комнаты.\r\n\r\nЕсли игра еще не началась, вы можете вернуться.
ErrorHacking	Вас заблокировали за взлом игры.\r\n\r\nБольше так не делайте.
ErrorFullGame	В этой игре уже достаточно участников.\r\n\r\nСпросите владельца, можете ли вы присоединиться к следующему раунду.
ErrorStartedGame	Эта игра уже началась.\r\n\r\nСпросите владельца, можете ли вы присоединиться к следующему раунду.
ErrorNotFoundGame	Не удалось найти подходящую игру.
ErrorInactivity	Игра остановлена со стороны сервера. Скорее всего, игроки были неактивны.
ErrorGenericOnlineDisconnect	Соединение с сервером разорвано.\r\nЕсли это происходит регулярно, проверьте работу сети.\r\nПроблема также может быть на стороне сервера.
ErrorGenericLocalDisconnect	Соединение с владельцем комнаты разорвано.\r\n\r\nЕсли это происходит регулярно, проверьте работу сети Wi-Fi.
ErrorInvalidName	Сервер отклонил ник {0}
ErrorUnknown	Соединение с сервером разорвано из-за неизвестной ошибки.
ErrorIncorrectVersion	У вас установлена устаревшая версия игры.\r\n\r\nОбновите приложение, чтобы подключиться к другим игрокам.
	
ServerNA	Северная Америка
ServerEU	Европа
ServerAS	Азия
ServerSA	Южная Америка
LangEnglish	English
LangFrench	Français
LangItalian	Italiano
LangGerman	Deutsch
LangSpanish	Español
LangSpanishLATAM	Español (Latinoamérica)
LangBrazPort	Português (Brasil)
LangPort	Português
LangRussian	Русский
LangJapanese	日本語
LangKorean	한국어
LangDutch	Nederlands
LangFilipino	Bisaya
PlayerName	Игрок
MyTablet	Мой планшет
Headquarters	Штаб
DownloadTestEstTimeS	Расчетное время: {0} с
DownloadTestEstTimeMS	Расчетное время: {0} м {1} с
DownloadTestEstTimeHMS	Расчетное время: {0} ч {1} м {2} с
DownloadTestEstTimeDHMS	Расчетное время: {0} д {1} ч {2} м {3} с
DownloadComplete	Завершено
GrabCoffee	СХОДИТЕ ЗА КОФЕ
TakeBreak	ОТДОХНИТЕ
DontNeedWait	ЖДАТЬ НЕ НАДО
DoSomethingElse	ПРИМИТЕСЬ ПОКА ЗА ДРУГИЕ ДЕЛА
NodeTB	Узел_TB
NodeIRO	Узел_IRO
NodeGI	Узел_GI
NodePD	Узел_PD
NodeCA	Узел_CA
NodeMLG	Узел_MLG
Vending	ОК
OtherLanguage	Другой
ImposterAmtAny	1-3
	
VitalsORGN	ОРНЖ
VitalsBLUE	СИН
VitalsRED	КРСН
VitalsBRWN	КРЧ
VitalsGRN	ЗЕЛ
VitalsPINK	РОЗ
VitalsWHTE	БЕЛ
VitalsYLOW	ЖЛТ
VitalsBLAK	ЧРН
VitalsPURP	ФЛТ
VitalsCYAN	ГОЛ
VitalsLIME	ЛЙМ
ColorOrange	ОРНЖ
ColorBlue	СИН
ColorRed	КРСН
ColorBrown	КРЧН
ColorGreen	ЗЕЛ
ColorPink	РОЗ
ColorWhite	БЕЛ
ColorYellow	ЖЛТ
ColorBlack	ЧРН
ColorPurple	ФЛТ
ColorCyan	ГОЛ
ColorLime	ЛЙМ
ColorMaroon	БОРДО
ColorRose	СИРЕНЕВЫЙ
ColorBanana	БАНАН
ColorGray	СЕРЫЙ
ColorTan	БЕЖЕВЫЙ
ColorCoral	КОРАЛЛ
MedID	ID:
MedC	ЦВЕТ:
MedHT	РОСТ:
MedBT	ГК:
MedWT	ВЕС:
MedETA	ВРЕМЯ: {0}
MedHello	ПРИВЕТ!
LobbySizeWarning	В Among Us можно играть вчетвером, но рекомендуется собрать команду из пяти и больше игроков.\n\nИгры вчетвером быстро заканчиваются, а побеждает в них часто предатель.
Okay	Ясно
OkayDontShow	Больше не показывать
Nevermind	Закрыть
CamEast	Восток
CamCentral	Центр
CamNortheast	Северо-восток
CamSouth	Юг
CamSouthwest	Юго-запад
CamNorthwest	Северо-запад
LoadingFailed	Ошибка загрузки:
PetFailFetchData	Не удалось получить данные о питомце
BadResult	ОШИБКА
More	ПОВТОРИТЬ
Processing	Обработка
ExitGame	Выйти из игры
WaitingForHost	Ожидание владельца
LeftGameError	{0} покидает игру из-за ошибки.
PlayerWasBannedBy	{1} блокирует игрока {0}
PlayerWasKickedBy	{1} исключает игрока {0}
Dummy	Манекен
Bad	ОШИБКА
Status	Статус: 
Fine	В ПОРЯДКЕ
OK	OK
SecondsAbbv	{0} с
PetTryOn	Подберите себе образ!
DataPolicyWhat	Что мы собираем?
	
	
	
VaultRoom	Хранилище
Cockpit	Кабина
Armory	Арсенал
Kitchen	Кухня
ViewingDeck	Смотр. палуба
HallOfPortraits	Портретная галерея
Medical	Лазарет
CargoBay	Грузовой отсек
Ventilation	Вентиляция
Showers	Душевые
Engine	Моторы
Brig	Карцер
MeetingRoom	Конференц-зал
Records	Архив
Lounge	Комната отдыха
GapRoom	Пролет
MainHall	Главный зал
	
PolishRuby	Полировка рубина
ResetBreakers	Перезапуск пробок
Decontaminate	Пройти обработку
MakeBurger	Сделать бургер
UnlockSafe	Открыть сейф
SortRecords	Разобрать записи
PutAwayPistols	Убрать пистолеты
PutAwayRifles	Убрать ружья
FixShower	Починить душ
CleanToilet	Помыть туалет
DressMannequin	Одеть манекен
PickUpTowels	Поднять полотенца
RewindTapes	Перемотать кассеты
StartFans	Запустить вентилятор
DevelopPhotos	Проявить фото
GetBiggolSword	Добыть Biggol-меч
StopCharles	Избежать столкновения
	
RevealCode	Узнать код
DirtyHeader	ОСТАЛОСЬ
AuthLeftOkay	Слева: OK
AuthRightOkay	Справа: OK
AuthLeftActive	Слева: АКТИВНО
AuthRightActive	Справа: АКТИВНО
AuthLeftNotActive	Слева: НЕАКТИВНО
AuthRightNotActive	Справа: НЕАКТИВНО
EngagementScreen	Нажмите любую кнопку, чтобы начать.
DeleteButton	Удалить
QuickChat	Быстрый чат
QCLocationLaptop	Ноутбук
QCLocationSkeld	Skeld
QCLocationMira	Mira 
QCLocationPolus	Polus
QCSystemsStart	Старт
QCSystemsKick	Выгнать
QCCrewI	Я
QCCrewMe	Меня
QCCrewNoOne	Никого(никто)
QCAccAKilledB	{0} убил(-а) игрока: {1}
QCAccAKilledBNeg	{0} не убивал(-а) игрока: {1}
QCAccAIsSuspicious	Игрок {0} вызывает подозрение
QCAccAIsSuspiciousNeg	{0} хороший(-ая)
QCAccASawBVent	{0} видел(-а) в люке игрока: {1}
QCAccASawBVentNeg	{0} не видел(-а) в люке игрока: {1}
QCAccAWasChasingB	{0} гнался(-ась) за игроком: {1}
QCAccAWasChasingBNeg	{0} не гнался(-ась) за игроком: {1}
QCAccAIsLying	{0} лжет
QCAccAIsLyingNeg	{0} говорит правду
QCAccVoteA	Голосуем против: {0}
QCAccVoteANeg	Не голосуем против: {0}
QCAccADidntReport	{0} не сообщил(-а) о трупе
QCResYes	Да
QCResNo	Нет
QCResDontKnow	Не знаю
QCResDontKnowNeg	Возможно
QCResAWas	{0} был(-а)
QCResAWasNeg	{0} не был(-а)
QCResADid	{0} это сделал(-а)
QCResADidNeg	{0} этого не делал(-а)
QCResVote	Голосуйте
QCResVoteNeg	Воздержитесь
QCResAWasAtB	Игрок {0} был замечен в: {1}
QCResAWasAtBNeg	Игрок {0} не был замечен в: {1}
QCResRip	Покойся с миром
QCResRipNeg	Вышвыриваем
QCResLies	Ложь
QCResLiesNeg	Ясно
QCQstWhere	Где?
QCQstWho	Кто?
QCQstWhoWasWith	Кто был с игроком: {0}?
QCQstWhatWasADoing	Что делал(-а) {0}?
QCQstWhoFixedA	Кто чинил: {0}?
QCQstWhereWasA	Где был(-а) {0}?
QCQstBodyOrMeeting	У нас труп или это срочное собрание?
QCStaASawB	{0} видел(-а): {1}
QCStaAWasWithB	{0} был(-а) с: {1}
QCStaADidB	{0} делал(-а): {1}
QCStaASelfReported	{0} сдался(-ась) сам(-а)
QCStaDoubleKill	Это двойное убийство
QCStaWasSelfReport	Сознался сам
QCStaPleaseDoTasks	Возвращайтесь к работе
QCStaBodyWasInA	Найден труп: {0}
QCStaACalledMeeting	Созывает собрание: {0}
QCLocation	Места
QCSystems	Системы
QCCrew	Экипаж
QCAccusation	Обвинения
QCResponse	Ответы
QCQuestion	Вопросы
QCStatements	Заявления
ChatType	Тип чата
QuickChatOnly	Только быстрый чат
FreeChatOnly	Только обычный чат
FreeOrQuickChat	Быстрый или обычный чат
DateOfBirth	Дата рождения
DateOfBirthEnter	Введите свою дату рождения:
Month	Месяц:
Day	День:
Year	Год:
January	Январь
February	Февраль
March	Март
April	Апрель
May	Май
June	Июнь
July	Июль
August	Август
September	Сентябрь
October	Октябрь
November	Ноябрь
December	Декабрь
Submit	Отправить
	
QCAccAKilledB_QCCrewMe_ANY	Я убил(-a): {1}
QCAccAKilledB_QCCrewMe_QCCrewNoOne	Я никого не убивал(-a)
QCAccAKilledB_QCCrewMe_QCCrewMe	
QCAccAKilledB_ANY_QCCrewMe	Меня убил(-a) {0}
QCAccAKilledB	{0} убил(-a): {1}
QCAccAKilledB_ANY_QCCrewNoOne	{0} никого не убивал(-a)
QCAccAKilledB_QCCrewNoOne_QCCrewMe	Меня никто не убивал
QCAccAKilledB_QCCrewNoOne_ANY	{1} никто не убивал
QCAccAKilledB_QCCrewNoOne_QCCrewNoOne	Никто никого не убивал
QCAccAKilledBNeg_QCCrewMe_ANY	Я не убивал(-a) {1}
QCAccAKilledBNeg_QCCrewMe_QCCrewNoOne	Я никого не убивал(-a)
QCAccAKilledBNeg_QCCrewMe_QCCrewMe	Я себя не убивал(-a)
QCAccAKilledBNeg_ANY_QCCrewMe	{0} меня не убивал(-a)
QCAccAKilledBNeg	{0} не убивал(-a): {1}
QCAccAKilledBNeg_ANY_QCCrewNoOne	{0} никого не убивал(-a)
QCAccAKilledBNeg_QCCrewNoOne_QCCrewMe	
QCAccAKilledBNeg_QCCrewNoOne_ANY	
QCAccAKilledBNeg_QCCrewNoOne_QCCrewNoOne	
QCAccAIsSuspicious_QCCrewMe	Я вызываю подозрения
QCAccAIsSuspicious	{0} вызывает подозрение
QCAccAIsSuspicious_QCCrewNoOne	Никто не вызывает подозрений
QCAccAIsSuspiciousNeg_QCCrewMe	Я хороший(-ая)
QCAccAIsSuspiciousNeg	{0} хороший(-ая)
QCAccAIsSuspiciousNeg_QCCrewNoOne	Все плохие
QCAccASawBVent_QCCrewMe_ANY	Я видел в люке: {1}
QCAccASawBVent_QCCrewMe_QCCrewNoOne	Я никого не видел в люке
QCAccASawBVent_QCCrewMe_QCCrewMe	
QCAccASawBVent_ANY_QCCrewMe	{0} видел меня в люке
QCAccASawBVent	{0} видел в люке: {1}
QCAccASawBVent_ANY_QCCrewNoOne	{0} никого не видел в люке
QCAccASawBVent_QCCrewNoOne_QCCrewMe	Никто не видел меня в люке
QCAccASawBVent_QCCrewNoOne_ANY	Никто не видел в люке: {1}
QCAccASawBVent_QCCrewNoOne_QCCrewNoOne	Никто никого не видел в люке
QCAccASawBVentNeg_QCCrewMe_ANY	Я ни разу не видел в люке: {1}
QCAccASawBVentNeg_QCCrewMe_QCCrewNoOne	Я ни разу никого не видел в люке
QCAccASawBVentNeg_QCCrewMe_QCCrewMe	
QCAccASawBVentNeg_ANY_QCCrewMe	{0} ни разу не видел меня в люке
QCAccASawBVentNeg	{0} ни разу не видел в люке: {1}
QCAccASawBVentNeg_ANY_QCCrewNoOne	{0} ни разу никого не видел в люке
QCAccASawBVentNeg_QCCrewNoOne_QCCrewMe	Никто ни разу не видел меня в люке
QCAccASawBVentNeg_QCCrewNoOne_ANY	Никто ни разу не видел в люке: {1}
QCAccASawBVentNeg_QCCrewNoOne_QCCrewNoOne	Никто ни разу никого не видел в люке
QCAccAWasChasingB_QCCrewMe_ANY	Я гнался(-ась) за: {1}
QCAccAWasChasingB_QCCrewMe_QCCrewNoOne	Я ни за кем не гнался(-ась)
QCAccAWasChasingB_QCCrewMe_QCCrewMe	
QCAccAWasChasingB_ANY_QCCrewMe	{0} гнался(-ась) за мной
QCAccAWasChasingB	{0} гнался(-ась) за: {1}
QCAccAWasChasingB_ANY_QCCrewNoOne	{0} ни за кем не гнался(--ась)
QCAccAWasChasingB_QCCrewNoOne_QCCrewMe	Никто за мной не гнался
QCAccAWasChasingB_QCCrewNoOne_ANY	Никто не гнался за: {1}
QCAccAWasChasingB_QCCrewNoOne_QCCrewNoOne	Никто ни за кем не гнался
QCAccAWasChasingBNeg_QCCrewMe_ANY	Я не гнался(-ась) за: {1}
QCAccAWasChasingBNeg_QCCrewMe_QCCrewNoOne	Я ни за кем не гнался(-ась)
QCAccAWasChasingBNeg_QCCrewMe_QCCrewMe	
QCAccAWasChasingBNeg_ANY_QCCrewMe	{0} за мной не гнался(-ась)
QCAccAWasChasingBNeg	{0} не гнался(-ась) за: {1}
QCAccAWasChasingBNeg_ANY_QCCrewNoOne	{0} ни за кем не гнался(-ась)
QCAccAWasChasingBNeg_QCCrewNoOne_QCCrewMe	
QCAccAWasChasingBNeg_QCCrewNoOne_ANY	
QCAccAWasChasingBNeg_QCCrewNoOne_QCCrewNoOne	
