KEY ID	Irish
EmptyChute	Folmhaigh an fánán
EmptyGarbage	Folmhaigh an bruscar
AlignEngineOutput	Ailínigh aschur na n-inneall
FixWiring	Deisigh na sreanga
CalibrateDistributor	Calabraigh an dáileoir
UnlockManifolds	Díghlasáil na hiolracháin
ResetReactor	Róthéifidh an t-imoibreoir i gceann
FixLights	Deisigh na soilse
CleanO2Filter	Glan an scagaire O2
FixComms	Gabhadh den chumarsáid
RestoreOxy	Folmhófar an ocsaigin i gceann
StabilizeSteering	Cobhsaigh an stiúradh
AssembleArtifact	Cóimeáil an déantúsán
SortSamples	Rangaigh na samplaí
MeasureWeather	Tomhais an aimsir
EnterIdCode	Iontráil do chód ID
BuyBeverage	Ceannaigh deoch
ProcessData	Próiseáil na sonraí
NumImpostorsS	Tá <color=#FF1919FF>Fealltóir amháin</color> inár measc
NumImpostorsP	Tá <color=#FF1919FF>{0} Fealltóirí</color> inár measc
Crewmate	Leathbhádóir
Impostor	Fealltóir
Victory	Bua
Defeat	Cailleadh
CrewmatesDisconnected	Dhícheangail\nan chuid is mó den chriú
ImpostorDisconnected	Dhícheangail an Fealltóir
PickAnomaly	Roghnaigh an aimhrialtacht
WaterPlantsGetCan	Canna spréite a fháil
AuthOfficeOkay	Oifig CGL
AuthCommsOkay	Cumarsáid CGL
AuthOfficeActive	Oifig BEO
AuthCommsActive	Cumarsáid BEO
AuthOfficeNotActive	Oifig MÚCHTA
AuthCommsNotActive	Cumarsáid MÚCHTA
SecLogEntry	Chuaigh {0} thar an mbraiteoir {1}
LogNorth	thuaidh
LogSouthEast	thoir theas
LogSouthWest	thiar theas
EnterName	Iontráil d'ainm
SwipeCardPleaseInsert	Iontráil do chárta
SwipeCardPleaseSwipe	Svaidhpeáil do chárta
SwipeCardBadRead	Theip ar léamh. Bain triail as arís.
SwipeCardTooFast	Róthapa! Bain triail as arís.
SwipeCardTooSlow	Rómhall! Bain triail as arís.
SwipeCardAccepted	Glacadh leis. Go raibh maith agat.
ReactorHoldToStop	Coinnigh síos chun an róthéamh a stopadh.
ReactorWaiting	Ag fanacht le húsáideoir eile
ReactorNominal	Imoibreoir Ainmniúil
MeetingWhoIsTitle	Cé hé an Fealltóir?
MeetingVotingBegins	Tosóidh an Vótáil i gceann: {0}s
MeetingVotingEnds	Críochnóidh an Vótáil i gceann: {0}s
MeetingVotingResults	Torthaí Vótála
MeetingProceeds	Ar aghaidh i gceann: {0}s
MeetingHasVoted	Vótáil {0}. Ag fanacht le {1} duine.
HowToPlayText1	Is cluiche comhoibhriú agus fealladh é Among Us.\n\nTá imreoirí in ann a bheith ina gcriú nó ina bhfealltóir.
HowToPlayText2	Imir in éindí le 4 go 15 imreoir ar líne nó ar an WiFi áitiúil
HowToPlayText41	Agus tú i d'óstach, tá smacht agat ar imirt an chluiche.
HowToPlayText42	Ar dtús, roghnaigh cé leis a bhfuil tú chun imirt! \n\nFonn ort imirt le cairde ar líne? Cuir cluiche príobháideach ar bun agus roinn an cód. \n\nFonn ort imirt ar líne? Roghnaigh cluiche poiblí.
HowToPlayText43	An bhfuil níos mó tascanna uait? Fonn ort rith níos tapúla? Níos mó Fealltóirí? Mar an t-óstach, is féidir leat na socruithe seo a athrú! Féach chuige go ndeimhníonn tú na hathruithe le do chomhimreoirí.
HowToPlayText44	Má tá aon duine míbhéasach nó ag spamáil, féadfaidh an t-óstach fainic a chur ar imreoirí ach iad a dhíbirt go sealadach nó cosc a chur ar rochtain seomra ar líne áirithe.
HowToPlayTextMap	Tá léarscáil ag gach duine chun a mbealach a dhéanamh tríd an spáslong.
HowToPlayTextCrew1	Sprioc: Líon tascbharra an ghrúpa nó aimsigh an fealltóir.
HowToPlayTextCrew2	Críochnaigh tascanna chun an barra a líonadh.
HowToPlayTextCrew3	Téigh i ngleic leis an sabaitéireacht
HowToPlayTextCrew4	Cuir cruinniú éigeandála ar bun nuair a thagtar ar an bhfealltóir.
HowToPlayTextCrew5	Tuairiscigh coirp mharbha.
HowToPlayTextCrew6	Seiceáil léarscáil an riaracháin agus an córas slándála le haghaidh ghníomhaíocht amhrasach.
HowToPlayTextImp1	Sprioc: Maraigh an criú uilig.
HowToPlayTextImp2	Tit isteach leis an gcriú.
HowToPlayTextImp3	Éalaigh trí na gaothairí.
HowToPlayTextImp4	Lig ort féin go bhfuil tú ag déanamh tascanna.
HowToPlayTextImp5	Déan sabaitéireacht ar an spáslong agus cuir mearbhall ar an gcriú.
HowToPlayTextImp6	Dún na doirse agus sáinnigh íospartaigh.
HowToPlayTextImp7	Maraigh an Criú idir agaí athnuachana.
HowToPlayText5	Fad is atá sibh i mbun cluichíochta libh féin, ní cheadaítear caint le go gcoinneofar an cluiche cothrom idir an Chriú agus an Fealltóir. \n\nMá mharaíonn an Fealltóir imreoir, ní féidir leo labhairt go gcríochnóidh an cluiche. \n\nReáchtálann Taibhsí a gcuid tascanna ag oibriú i dtreo buachan féideartha an criú.
HowToPlayText6	Nuair a thuairiscítear corp nó nuair a chuirtear cruinniú éigeandála ar bun, pléann an Criú an méid atá ar eolas acu faoin bhfealltóir.\n\nIs féidir le himreoirí labhairt gan srian faoin té a cheapann siad arb é an fealltóir é agus an t-eolas atá acu air. Nuair a imríonn tú in éineacht le daoine eile, ní féidir le Taibhsí labhairt mar go bhfuil a fhios acu cé hé an Fealltóir.\n\nDéanfaidh an Fealltóir a n-iarracht go bhfuil siad gan urchóid a chruthú nó féadfaidh siad an milleán a chur ar leathbhádóirí eile.
HowToPlayText7	Tar éis an scéal a phlé, vótáil don té a cheapann tú arb é an fealltóir é.\n\nPé duine a bhaineann tromlach na vótaí amach, eisteilgfear iad; vótáil go cúramach!\n\nMura bhfuil do dhóthain eolais agat agus chinn sibh mar Chriú, is féidir libh léim thar an bpróiseas vótála le heistealgan duine neamhchiontach a sheachaint. Gheobhaidh sibh deis eile teacht ar tuilleadh eolais dá bharr.
HowToPlayText81	Déan cleachtadh sa mhód saorimeartha!
HowToPlayText82	Socraigh do chuid thascanna féin mar Leathbhádóir nó déan cleachtadh ar do straitéisí maraithe mar Fhealltóir!
SettingsGeneral	Ginearálta
SettingsControls	Rialtáin
SettingsSound	Fuaim
SettingsGraphics	Graificí
SettingsData	Sonraí
SettingsCensorChat	Cinsireacht Chomhrá
SettingsMusic	Ceol
SettingsSFX	SFX
SettingsOn	Ar siúl
SettingsOff	Múchta
SettingsSendTelemetry	Seol teiliméadracht
SettingsControlMode	Mód smachta
SettingsTouchMode	Tadhall
SettingsJoystickMode	Luamhán Stiúrtha
SettingsKeyboardMode	Luchóg+Méarchlár
SettingsFullscreen	Lánscáileán
SettingsVSync	VSync
SettingsResolution	Taifeach
SettingsApply	Cuir i bhfeidhm
SettingsPersonalizeAds	Pearsantaigh fógraí
SettingsLanguage	Teanga
SettingsJoystickSize	Méid
SettingsMouseMode	Luchóg
MatchMapName	Léarscáil:
MatchLanguage	Comhrá:
MatchImpostors	Fealltóirí:
MatchMaxPlayers	Uasimreoirí
Cancel	Cealaigh
Confirm	Deimhnigh
PlayerColor	Dath
PlayerHat	Hata
PlayerSkin	Culaith
PlayerPet	Peata
GameSettings	Cluiche
GameRecommendedSettings	Socruithe molta
GameCustomSettings	Socruithe Saincheaptha
GameMapName	Léarscáil
GameNumImpostors	Fealltóirí
GameNumMeetings	Cruinnithe Éigeandála
GameDiscussTime	Am Díospóireachta
GameVotingTime	Am Vótála
GamePlayerSpeed	Luas Imreora
GameCrewLight	Radharc an Chriú
GameImpostorLight	Radharc an Fhealltóra
GameKillCooldown	Aga Athnuachana (marú)
GameKillDistance	Raon Inmharaithe
GameCommonTasks	Tascanna Comónta
GameLongTasks	Tascanna Fada
GameShortTasks	Tascanna Gearra
GameEmergencyCooldown	Athnuachan Éigeandála
GameSecondsAbbrev	{0}s
GameConfirmImpostor	Deimhnigh Eisteilgin
GameVisualTasks	Tascanna Físiúla
GameAnonymousVotes	Vótaí Gan Ainm
GameTaskBarMode	Uasdátuithe Tascbharra
SettingNormalTaskMode	I gcónaí
SettingMeetingTaskMode	Cruinnithe
SettingInvisibleTaskMode	Choíche
Limit	Teorainn
RoomCode	Cód
LeaveGame	Fág an cluiche
ReturnToGame	Fill ar an gcluiche
LocalHelp	Fadhbanna ceangail?\n\n● Cinntigh go bhfuil gach duine ceangailte leis an WiFi céanna\n● Cinntigh go bhfuil an leagan ionann ag gach duine (féach ar an taobh clé thuas)\n● Cinntigh go bhfuil ceangal WiFi láidir agat\n● Scaití, cabhraíonn sé má óstálann duine eile\n● Scaití, cabhraíonn sé má atosaíonn tú an aip... \n● Scaití, cabhraíonn sé má atosaíonn tú d'fhón...\n● Fadhbanna fós agat? Cuir ar an eolas muid inár Discord!
OnlineHelp	Conas a oibríonn sé?\n\n● Nuair a óstaíonn tú cluiche, bíonn cód in aice leis an gcnaipe chun tosú.\n● Roinn an cód le cairde chun cluiche príobháideach a chruthú.\n● Nó clic ar "Príobháideach" chun seomra poiblí a chruthú chun cluiche a lorg.\n● Is féidir leis an óstach imreoirí a dhíbirt nó cosc a chur orthu nuair atá an comhrá ar oscailt.\n● Fadhbanna fós agat? Inis dúinn ar Discord! 
EmergencyCount	TÁ\n\n\n\nCRUINNIÚ FÁGTHA AG {0}
EmergencyNotReady	CAITHFIDH AN CRIÚ FANACHT\n\n\n\nGO DTAGA AN CHÉAD CHRUINNIÚ EILE
EmergencyDuringCrisis	NÍ FÉIDIR LEAT CRUINNIÚ A CHUR AR BUN\nI RITH GEARCHÉIME
EmergencyRequested	CRUINNIÚ IARRTHA\nAG FANACHT LEIS AN ÓSTACH
AdPolicyTitle	Polasaí Fógraíochta
AdPolicyText	An féidir linn do shonraí pearsanta a úsáid chun fograí saincheaptha a chruthú duit? Má ghlacann tú leis seo, baileoidh ár gcuid comhpháirtithe fógraíochta Google AdMob agus Unity Ads do shonraí go huathoibríoch agus úsáidfidh siad fianáin agus aitheantóirí chun fógraí pearsantaithe a chruthú. Muna nglacann tú leo, seans ann go bhfeicfeá fógraí nach bhfuil curtha in oiriúint duit. Chun na fógraí ar fad a scriosadh, ceannaigh an t-uasghrádú saor ó fhógraí [httpstore]anseo[], agus ní fheicfidh tú nó do chairde aon fhógraí agus tú i d'óstach! Chun tuilleadh eolais a fhoghlaim faoinár gcomhpáirtithe fógraíochta agus ár mbeartas príobháideachais, téigh go [https://innersloth.com/privacy.php]Polasaí Príobháideachais[]. Is féidir do chinneadh a athrú uair ar bith i ríomhchlár na socruithe faoi "Sonraí".
Accept	Glacaim leis
RemoveAds	Bain fógraí
PlainYes	Glacaim
PlainNo	Ní ghlacaim
PrivacyPolicyTitle	Polasaí Príobháideachais
PrivacyPolicyText	Próiseálann Innersloth sonraí pearsanta ar mhaithe le Among Us. Léigh ár [https://innersloth.com/privacy.php]bPolasaí Príobháideachais[] le do thoil chun tuilleadh eolais a fháil faoinár gcleachtas príobháideachais. Is féidir leat socruithe do shonraí pearsanta in Among Us a bhainistiú faoi "Sonraí".
ManageDataButton	Bainistigh Bailiú sonraí
UnderstandButton	Tuigim
WaterPlants	Uiscigh na plandaí
WeatherEta	Fad measta: {0}s
WeatherComplete	Críochnaithe
RunDiagnostics	Rith diagnóisic
SettingShort	Gearr
SettingMedium	Meánach
SettingLong	Fada
SamplesPress	Brúigh chun tosú
SamplesAdding	Ag cur imoibri
SamplesSelect	Roghnaigh an aimhrialtacht
SamplesThanks	Go raibh maith agat!
SamplesComplete	Tastail chriochnaithe
AstDestroyed	Scriosta: {0}
TaskTestTitle	Tástálaí Tascanna 2000
BeginDiagnostics	Tosaigh diagnóisic
UserLeftGame	D'fhág {0} an cluiche.
GameStarting	Ag tosú i gceann {0}
ChatRateLimit	Róthapa. Fan go ceann {0} soicind
Tasks	Tascanna
MedscanRequested	Scanadh iarrtha
MedscanWaitingFor	Ag fanacht le {0}
MedscanCompleted	Scanadh críochnaithe!
MedscanCompleteIn	Críochnaithe i gceann {0}
StatsTitle	Staitisticí
StatsBodiesReported	Coirp tuairiscithe:\t
StatsEmergenciesCalled	Cruinnithe glaoite:\t
StatsTasksCompleted	Tascanna críochnaithe:\t
StatsAllTasksCompleted	Tascanna uile críochnaithe:\t
StatsSabotagesFixed	Sabaitéireachtaí deisithe:\t
StatsImpostorKills	Maruithe mar Fhealltóir:\t\t
StatsTimesMurdered	Líon na mbásanna:\t
StatsTimesEjected	Líon na n-eisteilgean:\t\t
StatsCrewmateStreak	Sraith mar Chriú:\t
StatsGamesImpostor	Cluichí mar Fhealltóir:\t
StatsGamesCrewmate	Cluichí mar Chriú:\t
StatsGamesStarted	Cluichí tosaithe:\t
StatsGamesFinished	Cluichí críochnaithe:\t
StatsImpostorVoteWins	Buanna fealltóra (Vóta):\t
StatsImpostorKillsWins	Buanna fealltóra (Marú):\t
StatsImpostorSabotageWins	Buanna fealltóra (Sabaitéireacht):\t
StatsCrewmateVoteWins	Buanna criú (Vóta):\t
StatsCrewmateTaskWins	Buanna criú (Tasc):\t
MonitorOxygen	Coinnigh súil ar an gcrann
StoreArtifacts	Stóráil na déantúsáin
FillCanisters	Líon na ceanastair
InsertKeys	Ionsáigh na heochracha
ResetSeismic	Athshocraigh na cobhsaitheoirí seisemeacha
SeismicHoldToStop	Coinnigh síos chun an cobhsaitheoir seismeach a chur ar siúl
SeismicNominal	Gníomhaíocht sheismeach ainmniúil
ScanBoardingPass	Scan do phas bordála
FixWeatherNode	Deisigh nód na haimsire
OpenWaterways	Oscail na huiscebhealaí
ReplaceWaterJug	Athraigh an crúiscín uisce
RepairDrill	Deisigh an druilire
AlignTelescope	Ailínigh an teileascóp
RecordTemperature	Taifead an teocht
RebootWifi	Athbhútáil an Wi-Fi
WifiRebootRequired	Athbhútáil de dhíth
WifiPleaseWait	Fan linn
WifiPleaseReturnIn	Fill i gceann {0}
WifiPleasePowerOn	Cuir ar siúl
WifiRebootComplete	Athbhútáil críochnaithe
Outside	Lasmuigh
Dropship	Loingín
Decontamination2	Dí-éilliúchán
Specimens	Seomra Eiseamail
BoilerRoom	Seomra Coire
GameOverImpostorDead	De ghnáth bheadh an bua ag an gCriú toisc go bhfuil an Fealltóir marbh. I gcás saorimeartha, athbheoitear gach duine.
GameOverImpostorKills	De ghnáth bheadh an bua ag an bhFealltóir toisc nach bhféidir leis an gcriú buachan a fháil a thuilleadh. I gcás saorimeartha, athbheoitear gach duine.
GameOverTaskWin	De ghnáth bheadh an bua ag an gCriú. I gcás saorimeartha, eisímid tascanna nua.
GameOverSabotage	De ghnáth bheadh an bua ag an bhFealltóir de dheasca na sabaitéireachta criticiúla. Sa gcás seo, ní ghearann muid na hiarmhairtí.
HowToPlayText2Switch	Imir in éindí le 4 go 15 imreoir le do bhallraíocht\n\nNintendo Switch Online nó ar an WiFi áitiúil!!
VentDirection	Treo an ghaothaire
VentMove	Bog tríd an ngaothaire
MenuNavigate	Stiúir
NsoError	Níorbh fhéidir ceangal leis an líonra.
ErrorServerOverload	Tá an iomarca daoine ar na freastalaithe Among Us.\r\n\r\nGabhann muid ár leithscéal! Bain triail as arís níos déanaí!
ErrorIntentionalLeaving	Ní féidir leat dul isteach i gcluiche eile go ceann {0} nóiméad eile tar éis duit dícheangal d'aon turas.
ErrorFocusLost	Dícheangalaíodh thú mar gur cuireadh Among Us ar fionraí ag app eile.
ErrorBanned	Cuireadh cosc ort ó {0}.\r\n\r\nNí féidir leat dul ar ais sa seomra seo.
ErrorKicked	Díbríodh thú ó {0}.\r\n\r\nIs féidir leat dul ar ais mura bhfuil an seomra tosaithe.
ErrorBannedNoCode	Cuireadh cosc ort ón seomra.\r\n\r\nNí féidir leat dul isteach sa seomra seo.
ErrorKickedNoCode	Díbríodh thú ón seomra.\r\n\r\nIs féidir leat dul isteach mura bhfuil an seomra tosaithe.
ErrorHacking	Cuireadh cosc ort toisc haiceála.\r\n\r\nStop, le do thoil.
ErrorFullGame	Tá an cluiche a ndearna tú iarracht dul isteach ann lán.\r\n\r\nSeiceáil leis an óstach an féidir leat dul isteach ar an gcéad bhabhta eile.
ErrorStartedGame	Thosaigh an cluiche a ndearna tú iarracht dul isteach ann cheana féin.\r\n\r\nSeiceáil leis an óstach an féidir leat dul isteach ar an gcéad bhabhta eile.
ErrorNotFoundGame	Níorbh fhéidir do chluiche a bhí uait a aimsiú.
ErrorInactivity	Stop freastalaí na gcluichí an cluiche seo. B'fhéidir mar gheall ar neamhghníomhaíocht.
ErrorGenericOnlineDisconnect	Dícheangalaíodh thú ón bhfreastalaí.\r\nMá tharlaíonn sé seo go minic, seiceáil láidreacht do líonra.\r\nIs féidir go bhfuil an locht ar an bhfreastálaí chomh maith.
ErrorGenericLocalDisconnect	Dícheangalaíodh thú ón bhfreastalaí.\r\nMá tharlaíonn sé seo go minic, seiceáil láidreacht do WiFi.
ErrorInvalidName	Dhiúltaigh freastalaí na gcluichí an t-ainm úsáideora: {0}
ErrorUnknown	Dhícheangal earráid anaithnid thú ón bhfreastalaí.
ErrorIncorrectVersion	Tá seanleagan den chluiche in úsáid agat.\r\n\r\nUasdátaigh an cluiche chun imirt le daoine eile.
	
ServerNA	Meiriceá Thuaidh
ServerEU	An Eoraip
ServerAS	An Áise
ServerSA	Meiriceá Theas
LangEnglish	English
LangFrench	Français
LangItalian	Italiano
LangGerman	Deutsch
LangSpanish	Español
LangSpanishLATAM	Español (Latinoamérica)
LangBrazPort	Português (Brasil)
LangPort	Português
LangRussian	Русский
LangJapanese	日本語
LangKorean	한국어
LangDutch	Nederlands
LangFilipino	Bisaya
PlayerName	Imreoir
MyTablet	Mo tháibléad
Headquarters	Ceannáras
DownloadTestEstTimeS	Fad measta: {0}s
DownloadTestEstTimeMS	Fad measta: {0}n {1}s
DownloadTestEstTimeHMS	Fad measta: {0}u {0}n {1}s
DownloadTestEstTimeDHMS	Fad measta: {0}l {0}u {0}n {1}s
DownloadComplete	Críochnaithe
GrabCoffee	FAIGH CAIFE
TakeBreak	LIG DO SCITH
DontNeedWait	NIL ORT FANACHT
DoSomethingElse	DEAN RUD EIGIN EILE
NodeTB	Nód_TB
NodeIRO	Nód_IRO
NodeGI	Nód_GI
NodePD	Nód_PD
NodeCA	Nód_CA
NodeMLG	Nód_MLG
Vending	Á DHÍOL
OtherLanguage	Eile
ImposterAmtAny	3-1
	
VitalsORGN	ORST
VitalsBLUE	GORM
VitalsRED	DRG
VitalsBRWN	DONN
VitalsGRN	GLAS
VitalsPINK	BNDG
VitalsWHTE	BÁN
VitalsYLOW	BUÍ
VitalsBLAK	DUBH
VitalsPURP	CRCA
VitalsCYAN	CIAN
VitalsLIME	LMA
ColorOrange	ORÁISTE
ColorBlue	GORM
ColorRed	DEARG
ColorBrown	DONN
ColorGreen	GLAS
ColorPink	BÁNDEARG
ColorWhite	BÁN
ColorYellow	BUÍ
ColorBlack	DUBH
ColorPurple	CORCRA
ColorCyan	CIAN
ColorLime	LÍOMA
ColorMaroon	MARÚN
ColorRose	RÓS
ColorBanana	BANANA
ColorGray	LIATH
ColorTan	CRÓN
ColorCoral	COIRÉALACH
MedID	ID:
MedC	D:
MedHT	A:
MedBT	FG:
MedWT	M:
MedETA	Fad measta: {0}
MedHello	HEILEO!
LobbySizeWarning	Tá Among Us inimeartha le 4 imreoir, ach moltar 5 imreoir nó níos mó.\n\nCríochnóidh cluichí le 4 imreoir an-tapa agus bíonn an Fealltóir ina bhuaiteoir go minic.
Okay	CGL
OkayDontShow	Ceart go leor, ná taispeáin dom é seo
Nevermind	Is cuma
CamEast	Thoir
CamCentral	Lárnach
CamNortheast	Thoir Thuaidh
CamSouth	Theas
CamSouthwest	Thiar Theas
CamNorthwest	Thiar Thuaidh
LoadingFailed	Theip ar lódáil:
PetFailFetchData	Níorbh fhéidir sonraí peata a aisghabháil
BadResult	EARRÁID
More	{0} EILE
Processing	Á phróiseáil
ExitGame	Scoir an Cluiche
WaitingForHost	Ag fanacht leis an óstach
LeftGameError	D'fhág {0} de dheasca earráide.
PlayerWasBannedBy	Chuir {1} cosc ar {0}
PlayerWasKickedBy	Dhíbir {1} {0}
Dummy	Caochadán
Bad	EARRÁID
Status	Stádas:
Fine	GLACTHA LEIS
OK	CGL
SecondsAbbv	{0}s
PetTryOn	Triail rud éigin!
DataPolicyWhat	Cad a bhailítear?
	
	
	
VaultRoom	Daingean
Cockpit	Cró Píolóta
Armory	Armlann
Kitchen	Cistin
ViewingDeck	Deic Féachana
HallOfPortraits	Halla na bPortráidí
Medical	Otharlann
CargoBay	Bá Lastais
Ventilation	Aeráil
Showers	Cithfholcthaí
Engine	Seomra Innill
Brig	Bruig
MeetingRoom	Seomra Cruinnithe
Records	Cartlann
Lounge	Tolglann
GapRoom	Nascseomra
MainHall	Príomh-halla
	
PolishRuby	Snasaigh an rúbín
ResetBreakers	Athshocraigh na scoradáin
Decontaminate	Dí-éilligh
MakeBurger	Réitigh burgar
UnlockSafe	Díghlasáil an taisceadán
SortRecords	Rangaigh na taifid
PutAwayPistols	Cuir na piostail ar shiúl
PutAwayRifles	Cuir na raidhfilí ar shiúl
FixShower	Deisigh an cith
CleanToilet	Glan an leithreas
DressMannequin	Gléas an mainicín
PickUpTowels	Pioc suas na tuáillí
RewindTapes	Cúlchas na fístéipeanna
StartFans	Cuir ar siúl na gaothráin
DevelopPhotos	Réal na grianghraif
GetBiggolSword	Faigh an claíomh Biggol
StopCharles	Iompaigh Cúrsa Tubaiste
	
RevealCode	Nocht an cód
DirtyHeader	SALACH
AuthLeftOkay	Taobh Clé CGL
AuthRightOkay	Taobh Deas CGL
AuthLeftActive	Taobh Clé BEO
AuthRightActive	Taobh Deas BEO
AuthLeftNotActive	Taobh Clé MÚCHTA
AuthRightNotActive	Taobh Deas MÚCHTA
EngagementScreen	Brúigh aon chnaipe chun tosú
DeleteButton	Scrios
QuickChat	Mearchomhrá
QCLocationLaptop	Ríomhaire glúine
QCLocationSkeld	Skeld
QCLocationMira	Mira
QCLocationPolus	Polus
QCSystemsStart	Tosaigh
QCSystemsKick	Díbir
QCCrewI	Mise
QCCrewMe	Mé
QCCrewNoOne	Duine ar bith
QCAccAKilledB	Mharaigh {0} {1}
QCAccAKilledBNeg	Níor mharaigh {0} {1}
QCAccAIsSuspicious	Tá {0} faoi amhras
QCAccAIsSuspiciousNeg	Tá {0} gan amhras
QCAccASawBVent	Chonaic {0} {1} ag dul i bhfolach sna gaothairí
QCAccASawBVentNeg	Ní fhaca {0} {1} ag dul i bhfolach sna gaothairí
QCAccAWasChasingB	Bhí {0} ar thóir {1}
QCAccAWasChasingBNeg	Ní raibh {0} ar thóir {1}
QCAccAIsLying	Tá {0} ag insint bréaga
QCAccAIsLyingNeg	Tá {0} ag insint na fírinne
QCAccVoteA	Vótáil do {0}
QCAccVoteANeg	Ná vótáil do {0}
QCAccADidntReport	Níor thuairiscigh {0} an corp
QCResYes	Tá
QCResNo	Níl
QCResDontKnow	Níl a fhios agam
QCResDontKnowNeg	B'fhéidir
QCResAWas	Bhí {0}
QCResAWasNeg	Ní raibh {0}
QCResADid	Rinne {0}
QCResADidNeg	Ní dhearna {0}
QCResVote	Vótáil
QCResVoteNeg	Léim thar vóta
QCResAWasAtB	Bhí {0} sa {1}
QCResAWasAtBNeg	Ní raibh {0} sa {1}
QCResRip	RIP
QCResRipNeg	dhíííteáil
QCResLies	bréaga
QCResLiesNeg	ceart go leor
QCQstWhere	cén áit?
QCQstWho	cé?
QCQstWhoWasWith	cé a bhí le {0}?
QCQstWhatWasADoing	céard a bhí ar bun ag {0}?
QCQstWhoFixedA	cé a dheisigh {0}?
QCQstWhereWasA	cá raibh {0}?
QCQstBodyOrMeeting	Arbh é corp marbh nó cruinniú éigeandála a bhí i gceist?
QCStaASawB	Chonaic {0} {1}
QCStaAWasWithB	Bhí {0} le {1}
QCStaADidB	Rinne {0} {1}
QCStaASelfReported	Thuairiscigh {0} iad féin
QCStaDoubleKill	Marú dúbailte a bhí ann
QCStaWasSelfReport	Féinthuairisc a bhí ann
QCStaPleaseDoTasks	Déan do chuid tascanna
QCStaBodyWasInA	Bhí an corp sa {0}
QCStaACalledMeeting	Chuir {0} cruinniú ar bun
QCLocation	Suíomh
QCSystems	Córais
QCCrew	Criú
QCAccusation	Cúiseamh
QCResponse	Freagra
QCQuestion	Ceist
QCStatements	Ráitis
ChatType	Cineál Comhrá
QuickChatOnly	Mearchomhrá amháin
FreeChatOnly	Saorchomhrá amháin
FreeOrQuickChat	Saor nó Mearchomhrá
DateOfBirth	Dáta breithe
DateOfBirthEnter	Iontráil do dháta breithe
Month	Mí:
Day	Lá:
Year	Bliain:
January	Eanáir
February	Feabhra
March	Márta
April	Aibreán
May	Bealtaine
June	Meitheamh
July	Iúil
August	Lúnasa
September	Meán Fómhair
October	Deireadh Fómhair
November	Samhain
December	Nollaig
Submit	Cuir isteach
	
QCAccAKilledB_QCCrewMe_ANY	Mharaigh mé {1}
QCAccAKilledB_QCCrewMe_QCCrewNoOne	Níor mharaigh mé éinne
QCAccAKilledB_QCCrewMe_QCCrewMe	
QCAccAKilledB_ANY_QCCrewMe	Mharaigh {0} mé
QCAccAKilledB	Mharaigh {0} {1}
QCAccAKilledB_ANY_QCCrewNoOne	Níor mharaigh {0} éinne
QCAccAKilledB_QCCrewNoOne_QCCrewMe	Níor mharaigh duine ar bith mé
QCAccAKilledB_QCCrewNoOne_ANY	Níor mharaigh duine ar bith {1}
