KEY ID	Brazilian Portuguese
StatsImpostorSabotageWins	Vitórias por sabotagem como Impostor:\t
StatsCrewmateVoteWins	Vitórias por voto como Tripulante:\t
StatsCrewmateTaskWins	Vitórias por tarefa como Tripulante:\t
MonitorOxygen	Monitorar árvore
StoreArtifacts	Guardar artefatos
FillCanisters	Encher cilindros
InsertKeys	Inserir chaves
ResetSeismic	Reiniciar estabilizadores sísmicos
SeismicHoldToStop	Segure pra ativar estabilizador sísmico
SeismicNominal	Atividade sísmica estável
ScanBoardingPass	Ler cartão de embarque
FixWeatherNode	Arrumar terminal climático
OpenWaterways	Abrir registro
ReplaceWaterJug	Encher galão de água
RepairDrill	Consertar sonda
AlignTelescope	Alinhar telescópio
RecordTemperature	Registrar temperatura
RebootWifi	Reiniciar Wi-Fi
WifiRebootRequired	Reinicie o sistema
WifiPleaseWait	Aguarde
WifiPleaseReturnIn	Volte em {0}
WifiPleasePowerOn	Ligue o aparelho
WifiRebootComplete	Sistema reiniciado
Outside	Exterior
Dropship	Cápsula
Decontamination2	Descontaminação
Specimens	Sala de Amostras
BoilerRoom	Caldeira
GameOverImpostorDead	Normalmente, a Tripulação teria vencido com a morte do Impostor. Mas na Partida Livre, revivemos todo mundo.
GameOverImpostorKills	Normalmente, o Impostor teria vencido, já que a Tripulação não tem mais como vencer. Mas na Partida Livre, revivemos todo mundo.
GameOverTaskWin	Normalmente, a Tripulação teria vencido com a barra de tarefas cheia. Mas na Partida Livre, distribuímos tarefas novas.
GameOverSabotage	Normalmente, o Impostor teria vencido graças a uma sabotagem avançada. Em vez disso, remediamos a situação.
HowToPlayText2Switch	Jogue em grupos de 4 a 15 jogadores online com a sua assinatura Nintendo Switch Online ou por Wi-Fi local!
VentDirection	Direção do duto
VentMove	Andar pelo duto
MenuNavigate	Navegar
NsoError	Não foi possível conectar à rede.
ErrorServerOverload	Os servidores de Among Us estão sobrecarregados.\r\n\r\nFoi mal! Tente novamente mais tarde.
ErrorIntentionalLeaving	Ao sair de propósito de uma partida, você não poderá entrar em outra pelos próximos {0} minutos.
ErrorFocusLost	Você foi desconectado porque outro aplicativo suspendeu o Among Us.
ErrorBanned	Você foi banido de {0}.\r\n\r\nVocê não pode mais voltar para essa sala.
ErrorKicked	Você foi expulso de {0}.\r\n\r\nVocê pode voltar se a sala ainda não tiver começado.
ErrorBannedNoCode	Você foi banido da sala.\r\n\r\nVocê não pode mais voltar para essa sala.
ErrorKickedNoCode	Você foi expulso da sala.\r\n\r\nVocê pode voltar se a sala ainda não tiver começado.
ErrorHacking	Você foi banido por usar hack.\r\n\r\nNão toleramos esse tipo de comportamento.
ErrorFullGame	A partida em que você tentou entrar está cheia.\r\n\r\nConfira com o anfitrião se você pode entrar na próxima rodada.
ErrorStartedGame	A partida em que você tentou entrar já começou.\r\n\r\nConfira com o anfitrião se você pode entrar na próxima rodada.
ErrorNotFoundGame	Não foi possível encontrar a partida que você está procurando.
ErrorInactivity	O servidor interrompeu essa partida (possivelmente por inatividade).
ErrorGenericOnlineDisconnect	Você se desconectou do servidor.\r\nSe isso ocorrer com frequência, verifique o sinal da sua rede.\r\nO problema também pode ser no servidor.
ErrorGenericLocalDisconnect	Você se desconectou do servidor.\r\n\r\nSe isso ocorrer com frequência, verifique o sinal da sua rede Wi-Fi.
ErrorInvalidName	O servidor não aceitou o nome de usuário: {0}
ErrorUnknown	Um erro desconhecido desconectou você do servidor.
ErrorIncorrectVersion	Você está executando uma versão antiga do aplicativo.\r\n\r\nAtualize para poder jogar com outras pessoas.
	
ServerNA	América do Norte
ServerEU	Europa
ServerAS	Ásia
ServerSA	América do Sul
LangEnglish	English
LangFrench	Français
LangItalian	Italiano
LangGerman	Deutsch
LangSpanish	Español
LangSpanishLATAM	Español (Latinoamérica)
LangBrazPort	Português (Brasil)
LangPort	Português
LangRussian	Русский
LangJapanese	日本語
LangKorean	한국어
LangDutch	Nederlands
LangFilipino	Bisaya
PlayerName	Jogador
MyTablet	Meu tablet
Headquarters	Sede
DownloadTestEstTimeS	Tempo estimado: {0}s
DownloadTestEstTimeMS	Tempo estimado: {0}m {1}s
DownloadTestEstTimeHMS	Tempo estimado: {0}hr {1}m {2}s
DownloadTestEstTimeDHMS	Tempo estimado: {0}d {1}hr {2}m {3}s
DownloadComplete	Completo
GrabCoffee	HORA DO CAFE
TakeBreak	FACA UMA PAUSA
DontNeedWait	DE UM PASSEIO
DoSomethingElse	FACA OUTRA COISA
NodeTB	Nó_TB
NodeIRO	Nó_IRO
NodeGI	Nó_GI
NodePD	Nó_PD
NodeCA	Nó_CA
NodeMLG	Nó_MLG
Vending	AGUARDE
OtherLanguage	Outro
ImposterAmtAny	1-3
	
VitalsORGN	LRNJ
VitalsBLUE	AZUL
VitalsRED	VRML
VitalsBRWN	MARR
VitalsGRN	VERD
VitalsPINK	ROSA
VitalsWHTE	BRNC
VitalsYLOW	AMRL
VitalsBLAK	PRET
VitalsPURP	ROXO
VitalsCYAN	CIAN
VitalsLIME	LIMA
ColorOrange	LARANJA
ColorBlue	AZUL
ColorRed	VERMELHO
ColorBrown	MARROM
ColorGreen	VERDE
ColorPink	ROSA
ColorWhite	BRANCO
ColorYellow	AMARELO
ColorBlack	PRETO
ColorPurple	ROXO
ColorCyan	CIANO
ColorLime	LIMA
ColorMaroon	BORDÔ
ColorRose	ROSÉ
ColorBanana	BANANA
ColorGray	CINZA
ColorTan	CREME
ColorCoral	CORAL
MedID	ID:
MedC	C:
MedHT	AL:
MedBT	PE:
MedWT	TS:
MedETA	TEMPO: {0}
MedHello	OI!
LobbySizeWarning	É possível jogar Among Us com 4 jogadores, mas recomendamos 5 ou mais.\n\nJogos com 4 pessoas acabam rápido e, muitas vezes, o Impostor ganha.
Okay	OK
OkayDontShow	OK, não \nexibir isso
Nevermind	Deixa pra lá
CamEast	Leste
CamCentral	Centro
CamNortheast	Nordeste
CamSouth	Sul
CamSouthwest	Sudoeste
CamNorthwest	Noroeste
LoadingFailed	Falha no carregamento:
PetFailFetchData	Não foi possível baixar os dados de mascotes
BadResult	FALHOU
More	MAIS {0}
Processing	Processando
ExitGame	Sair da partida
WaitingForHost	Aguardando anfitrião
LeftGameError	{0} saiu da partida devido a um erro.
PlayerWasBannedBy	{1} baniu {0}
PlayerWasKickedBy	{1} expulsou {0}
Dummy	Boneco
Bad	ERRO
Status	Status: 
Fine	CERTO
OK	OK
SecondsAbbv	{0}s
PetTryOn	Experimente algum!
DataPolicyWhat	O que é coletado?
	
	
	
VaultRoom	Caixa-forte
Cockpit	Cabine
Armory	Armaria
Kitchen	Cozinha
ViewingDeck	Deck panorâmico
HallOfPortraits	Salão de retratos
Medical	Ala médica
CargoBay	Cargas
Ventilation	Ventilação
Showers	Duchas
Engine	Casa de máquinas
Brig	Alojamentos
MeetingRoom	Sala de reunião
Records	Sala de arquivos
Lounge	Saguão
GapRoom	Sala suspensa
MainHall	Salão principal
	
PolishRuby	Polir rubi
ResetBreakers	Reiniciar dijuntores
Decontaminate	Desinfetar
MakeBurger	Fazer hambúrguer
UnlockSafe	Abrir cofre
SortRecords	Arrumar registros
PutAwayPistols	Guardar pistolas
PutAwayRifles	Guardar rifles
FixShower	Arrumar ducha
CleanToilet	Limpar banheiro
DressMannequin	Vestir manequim
PickUpTowels	Recolher toalhas
RewindTapes	Rebobinar fitas
StartFans	Ligar ventilador
DevelopPhotos	Desenvolver fotos
GetBiggolSword	Pegar espada Biggol
StopCharles	Desviar da rota de colisão
	
RevealCode	Revelar código
DirtyHeader	SUJO
AuthLeftOkay	Lado esquerdo OK
AuthRightOkay	Lado direito OK
AuthLeftActive	Lado esquerdo ATIVO
AuthRightActive	Lado direito ATIVO
AuthLeftNotActive	Lado esquerdo DESATIVADO
AuthRightNotActive	Lado direito DESATIVADO
EngagementScreen	Aperte qualquer botão para iniciar.
DeleteButton	Excluir
QuickChat	Bate-papo rápido
QCLocationLaptop	Laptop
QCLocationSkeld	Skeld
QCLocationMira	Mira 
QCLocationPolus	Polus
QCSystemsStart	Iniciar
QCSystemsKick	Expulsar
QCCrewI	Eu
QCCrewMe	Meu Among
QCCrewNoOne	Ninguém
QCAccAKilledB	{0} matou {1}
QCAccAKilledBNeg	{0} não matou {1}
QCAccAIsSuspicious	{0} é suspeito(a)
QCAccAIsSuspiciousNeg	{0} tá de boa
QCAccASawBVent	{0} viu {1} no duto
QCAccASawBVentNeg	{0} nunca viu {1} no duto
QCAccAWasChasingB	{0} perseguiu {1}
QCAccAWasChasingBNeg	{0} não perseguiu {1}
QCAccAIsLying	{0} tá mentindo
QCAccAIsLyingNeg	{0} tá dizendo a verdade
QCAccVoteA	Votem em {0}
QCAccVoteANeg	Não votar em {0}
QCAccADidntReport	{0} não reportou o corpo
QCResYes	Sim
QCResNo	Não
QCResDontKnow	Não sei
QCResDontKnowNeg	Talvez
QCResAWas	{0} estava
QCResAWasNeg	{0} não estava
QCResADid	{0} fez isso
QCResADidNeg	{0} não fez isso
QCResVote	Votar
QCResVoteNeg	Pular
QCResAWasAtB	{0} estava em {1}
QCResAWasAtBNeg	{0} não estava em {1}
QCResRip	e morreu
QCResRipNeg	uh, fora
QCResLies	caô
QCResLiesNeg	ok
QCQstWhere	onde?
QCQstWho	quem?
QCQstWhoWasWith	Quem estava com {0}?
QCQstWhatWasADoing	O que {0} fazia?
QCQstWhoFixedA	Quem consertou {0}?
QCQstWhereWasA	Onde {0} estava?
QCQstBodyOrMeeting	É reunião de corpo ou de emergência?
QCStaASawB	{0} viu {1}
QCStaAWasWithB	{0} estava com {1}
QCStaADidB	{0} fez: {1}
QCStaASelfReported	{0} passou recibo
QCStaDoubleKill	Foi abate duplo
QCStaWasSelfReport	Passou recibo
QCStaPleaseDoTasks	Cumpram suas tarefas
QCStaBodyWasInA	O corpo estava em {0}
QCStaACalledMeeting	{0} convocou uma reunião
QCLocation	Local
QCSystems	Sistemas
QCCrew	Tripulação
QCAccusation	Acusação
QCResponse	Resposta
QCQuestion	Pergunta
QCStatements	Declarações
ChatType	Tipo de bate-papo
QuickChatOnly	Só bate-papo rápido
FreeChatOnly	Só bate-papo livre
FreeOrQuickChat	Bate-papo rápido ou livre
DateOfBirth	Data de nascimento
DateOfBirthEnter	Preencha sua data de nascimento:
Month	Mês:
Day	Dia:
Year	Ano:
January	Janeiro
February	Fevereiro
March	Março
April	Abril
May	Maio
June	Junho
July	Julho
August	Agosto
September	Setembro
October	Outubro
November	Novembro
December	Dezembro
Submit	Enviar
	
QCAccAKilledB_QCCrewMe_ANY	Eu matei {1}
QCAccAKilledB_QCCrewMe_QCCrewNoOne	Eu não matei ninguém
QCAccAKilledB_QCCrewMe_QCCrewMe	
QCAccAKilledB_ANY_QCCrewMe	{0} me matou
QCAccAKilledB	{0} matou {1}
QCAccAKilledB_ANY_QCCrewNoOne	{0} não matou ninguém
QCAccAKilledB_QCCrewNoOne_QCCrewMe	Ninguém me matou
QCAccAKilledB_QCCrewNoOne_ANY	Ninguém matou {1}
QCAccAKilledB_QCCrewNoOne_QCCrewNoOne	Ninguém matou ninguém
QCAccAKilledBNeg_QCCrewMe_ANY	Eu não matei {1}
QCAccAKilledBNeg_QCCrewMe_QCCrewNoOne	Eu não matei ninguém
QCAccAKilledBNeg_QCCrewMe_QCCrewMe	Eu não me matei
QCAccAKilledBNeg_ANY_QCCrewMe	{0} não me matou
QCAccAKilledBNeg	{0} não matou {1}
QCAccAKilledBNeg_ANY_QCCrewNoOne	{0} não matou ninguém
QCAccAKilledBNeg_QCCrewNoOne_QCCrewMe	
QCAccAKilledBNeg_QCCrewNoOne_ANY	
QCAccAKilledBNeg_QCCrewNoOne_QCCrewNoOne	
QCAccAIsSuspicious_QCCrewMe	Eu sou suspeito(a)
QCAccAIsSuspicious	{0} é suspeito(a)
QCAccAIsSuspicious_QCCrewNoOne	Ninguém é suspeito
QCAccAIsSuspiciousNeg_QCCrewMe	Eu tô de boa
QCAccAIsSuspiciousNeg	{0} tá de boa
QCAccAIsSuspiciousNeg_QCCrewNoOne	Todo mundo é treta
QCAccASawBVent_QCCrewMe_ANY	Eu vi {1} no duto
QCAccASawBVent_QCCrewMe_QCCrewNoOne	Eu não vi ninguém no duto
QCAccASawBVent_QCCrewMe_QCCrewMe	
QCAccASawBVent_ANY_QCCrewMe	{0} me viu no duto
QCAccASawBVent	{0} viu {1} no duto
QCAccASawBVent_ANY_QCCrewNoOne	{0} não viu ninguém no duto
QCAccASawBVent_QCCrewNoOne_QCCrewMe	Ninguém me viu no duto
QCAccASawBVent_QCCrewNoOne_ANY	Ninguém viu {1} no duto
QCAccASawBVent_QCCrewNoOne_QCCrewNoOne	Ninguém viu ninguém no duto
QCAccASawBVentNeg_QCCrewMe_ANY	Eu nunca vi {1} no duto
QCAccASawBVentNeg_QCCrewMe_QCCrewNoOne	Eu nunca vi ninguém no duto
QCAccASawBVentNeg_QCCrewMe_QCCrewMe	
QCAccASawBVentNeg_ANY_QCCrewMe	{0} nunca me viu no duto
QCAccASawBVentNeg	{0} nunca viu {1} no duto
QCAccASawBVentNeg_ANY_QCCrewNoOne	{0} nunca viu ninguém no duto
QCAccASawBVentNeg_QCCrewNoOne_QCCrewMe	Ninguém nunca me viu no duto
QCAccASawBVentNeg_QCCrewNoOne_ANY	Ninguém nunca viu {1} no duto
QCAccASawBVentNeg_QCCrewNoOne_QCCrewNoOne	Ninguém nunca viu ninguém no duto
QCAccAWasChasingB_QCCrewMe_ANY	Eu persegui {1}
QCAccAWasChasingB_QCCrewMe_QCCrewNoOne	Eu não persegui ninguém
QCAccAWasChasingB_QCCrewMe_QCCrewMe	
QCAccAWasChasingB_ANY_QCCrewMe	{0} me perseguiu
QCAccAWasChasingB	{0} perseguiu {1}
QCAccAWasChasingB_ANY_QCCrewNoOne	{0} não perseguiu ninguém
QCAccAWasChasingB_QCCrewNoOne_QCCrewMe	Ninguém me perseguiu
QCAccAWasChasingB_QCCrewNoOne_ANY	Ninguém perseguiu {1}
QCAccAWasChasingB_QCCrewNoOne_QCCrewNoOne	Ninguém perseguiu ninguém
QCAccAWasChasingBNeg_QCCrewMe_ANY	Eu não persegui {1}
QCAccAWasChasingBNeg_QCCrewMe_QCCrewNoOne	Eu não persegui ninguém
QCAccAWasChasingBNeg_QCCrewMe_QCCrewMe	
QCAccAWasChasingBNeg_ANY_QCCrewMe	{0} não me perseguiu
QCAccAWasChasingBNeg	{0} não perseguiu {1}
QCAccAWasChasingBNeg_ANY_QCCrewNoOne	{0} não perseguiu ninguém
QCAccAWasChasingBNeg_QCCrewNoOne_QCCrewMe	
QCAccAWasChasingBNeg_QCCrewNoOne_ANY	
QCAccAWasChasingBNeg_QCCrewNoOne_QCCrewNoOne	
QCAccAIsLying_QCCrewMe	Eu tô mentindo
QCAccAIsLying	{0} tá mentindo
QCAccAIsLying_QCCrewNoOne	Ninguém tá mentindo
QCAccAIsLyingNeg_QCCrewMe	Eu tô dizendo a verdade
QCAccAIsLyingNeg	{0} tá dizendo a verdade
QCAccAIsLyingNeg_QCCrewNoOne	Ninguém tá dizendo a verdade
QCAccVoteA_QCCrewMe	Votem em mim
QCAccVoteA	Votem em {0}
QCAccVoteA_QCCrewNoOne	Não votem em ninguém
