KEY ID	European Portuguese
MonitorOxygen	Monitorização
StoreArtifacts	Guardar artefactos
FillCanisters	Encher recipientes
InsertKeys	Inserir chaves
ResetSeismic	Repor estabilizadores sísmicos
SeismicHoldToStop	Segurar para ativar o estabilizador sísmico
SeismicNominal	Atividade sísmica estável
ScanBoardingPass	Analisar bilhete
FixWeatherNode	Reparar meteorologia
OpenWaterways	Abrir hidrovias
ReplaceWaterJug	Substituir o bidão
RepairDrill	Reparar broca
AlignTelescope	Alinhar telescópio
RecordTemperature	Registar temperatura
RebootWifi	Reiniciar Wi-Fi
WifiRebootRequired	É preciso reiniciar
WifiPleaseWait	Aguarda
WifiPleaseReturnIn	Volta em {0}.
WifiPleasePowerOn	Ligar
WifiRebootComplete	Reinicialização completa
Outside	Exterior
Dropship	Nave
Decontamination2	Descontaminação
Specimens	Sala de amostras
BoilerRoom	Caldeiras
GameOverImpostorDead	Normalmente a Tripulação vence depois do Impostor morrer, mas em modo livre são todos reanimados.
GameOverImpostorKills	Normalmente o Impostor vence depois da Tripulação já não ter hipóteses, mas em modo livre são todos reanimados.
GameOverTaskWin	Normalmente a Tripulação vence depois da barra de tarefas estar cheia, mas em modo livre adicionamos mais tarefas.
GameOverSabotage	Normalmente o Impostor vence depois de conseguir sabotagem crítica. Mas em modo livre desativamos essa possibilidade.
HowToPlayText2Switch	Joga online com 4 a 15 jogadores através da adesão ao Nintendo Switch Online ou via Wi-Fi local!
VentDirection	Direção da ventilação
VentMove	Mover pela ventilação
MenuNavigate	Navegar
NsoError	Não foi possível ligar à rede.
ErrorServerOverload	Os servidores do Among Us estão sobrecarregados.\r\n\r\nUps! Tenta mais tarde!
ErrorIntentionalLeaving	Se abandonares uma partida, não podes entrar noutra durante {0} minutos.
ErrorFocusLost	Perdeste a ligação porque o Among Us foi suspendido por outra aplicação.
ErrorBanned	Baniram-te de: {0}.\r\n\r\nNão podes voltar a esta sala.
ErrorKicked	Expulsaram-te de: {0}.\r\n\r\nSe a sala não tiver iniciado a partida, podes voltar.
ErrorBannedNoCode	Baniram-te da sala.\r\n\r\nNão podes voltar a esta sala.
ErrorKickedNoCode	Expulsaram-te da sala.\r\n\r\nSe a sala não tiver iniciado a partida, podes voltar.
ErrorHacking	Baniram-te por usar hacks.\r\n\r\nNão voltes a fazê-lo.
ErrorFullGame	Tentaste entrar numa partida cheia.\r\n\r\nPergunta à organização se tens vaga na próxima ronda.
ErrorStartedGame	Tentaste entrar numa partida que já começou.\r\n\r\nPergunta à organização se tens vaga na próxima ronda.
ErrorNotFoundGame	Não encontrámos a partida que procuras.
ErrorInactivity	O servidor interrompeu esta partida. Possivelmente devido a inatividade.
ErrorGenericOnlineDisconnect	Perdeste a ligação ao servidor.\r\nSe for algo frequente, verifica a ligação.\r\nTambém pode ser um problema do servidor.
ErrorGenericLocalDisconnect	Perdeste a ligação à organização.\r\n\r\nSe for algo frequente, verifica o teu sinal Wi-Fi.
ErrorInvalidName	Nome de utilizador inválido: {0}
ErrorUnknown	Perdeste a ligação ao servidor devido a um erro desconhecido.
ErrorIncorrectVersion	A aplicação está desatualizada.\r\n\r\nAtualiza-a para jogares online.
	
ServerNA	América do Norte
ServerEU	Europa
ServerAS	Ásia
ServerSA	América do Sul
LangEnglish	English
LangFrench	Français
LangItalian	Italiano
LangGerman	Deutsch
LangSpanish	Español
LangSpanishLATAM	Español (Latinoamérica)
LangBrazPort	Português (Brasil)
LangPort	Português
LangRussian	Русский
LangJapanese	日本語
LangKorean	한국어
LangDutch	Nederlands
LangFilipino	Bisaya
PlayerName	Jogador
MyTablet	Tablet pessoal
Headquarters	Sede
DownloadTestEstTimeS	Tempo estimado: {0}s
DownloadTestEstTimeMS	Tempo estimado: {0}m {1}s
DownloadTestEstTimeHMS	Tempo estimado: {0}hr {1}m {2}s
DownloadTestEstTimeDHMS	Tempo estimado: {0}d {1}hr {2}m {3}s
DownloadComplete	Concluído
GrabCoffee	BEBE UM CAFEZINHO
TakeBreak	DESCANSA UM POUCO
DontNeedWait	ESPERAS SE QUISERES
DoSomethingElse	FAZ OUTRA COISA
NodeTB	Nó_TB
NodeIRO	Nó_IRO
NodeGI	Nó_GI
NodePD	Nó_PD
NodeCA	Nó_CA
NodeMLG	Nó_MLG
Vending	Aguarda
OtherLanguage	Outro
ImposterAmtAny	1-3
	
VitalsORGN	LRNJ
VitalsBLUE	AZUL
VitalsRED	VERM
VitalsBRWN	CAST
VitalsGRN	VERD
VitalsPINK	ROSA
VitalsWHTE	BRNC
VitalsYLOW	AMRL
VitalsBLAK	PRET
VitalsPURP	ROXO
VitalsCYAN	CIAN
VitalsLIME	LIMA
ColorOrange	LRNJ
ColorBlue	AZUL
ColorRed	VERM
ColorBrown	CAST
ColorGreen	VERD
ColorPink	ROSA
ColorWhite	BRNC
ColorYellow	AMRL
ColorBlack	PRETO
ColorPurple	ROXO
ColorCyan	CIAN
ColorLime	LIMA
ColorMaroon	CARMIM
ColorRose	ROSADO
ColorBanana	BANANA
ColorGray	CINZA
ColorTan	CAQUI
ColorCoral	CORAL
MedID	ID:
MedC	COR:
MedHT	ALT.:
MedBT	T.S:
MedWT	P.:
MedETA	ESTIMADO {0}
MedHello	OI!
LobbySizeWarning	Podes jogar Among Us com 4 jogadores, \nmas recomendamos 5 ou mais.\n\nAs partidas de 4 jogadores são demasiado rápidas e normalmente vence o impostor.
Okay	OK
OkayDontShow	OK, não mostrar isto
Nevermind	Esquece
CamEast	Este
CamCentral	Central
CamNortheast	Nordeste
CamSouth	Sul
CamSouthwest	Sudoeste
CamNorthwest	Noroeste
LoadingFailed	Falha ao carregar:
PetFailFetchData	impossível localizar dados da mascote
BadResult	ERRADO
More	MAIS {0}
Processing	A processar
ExitGame	Sair da partida
WaitingForHost	A aguardar pela \norganização
LeftGameError	{0} abandonou a partida devido a um erro.
PlayerWasBannedBy	{1} baniu {0}
PlayerWasKickedBy	{1} expulsou {0}
Dummy	Boneco
Bad	ERRADO
Status	Estado: 
Fine	CERTO
OK	OK
SecondsAbbv	{0}s
PetTryOn	Experimenta alguma coisa!
DataPolicyWhat	O que é recolhido?
	
	
	
VaultRoom	Caixa-forte
Cockpit	Cockpit
Armory	Arsenal
Kitchen	Cozinha
ViewingDeck	Zona de Observação
HallOfPortraits	Galeria
Medical	Consultório
CargoBay	Porão
Ventilation	Ventilação
Showers	Balneário
Engine	Sala das Máquinas
Brig	Brigue
MeetingRoom	Sala de Reuniões
Records	Arquivos
Lounge	Lounge
GapRoom	Sala sem Ponte
MainHall	Sala Principal
	
PolishRuby	Dar brilho ao rubi
ResetBreakers	Reiniciar disjuntores
Decontaminate	Descontaminar
MakeBurger	Fazer hambúrguer
UnlockSafe	Destrancar cofre
SortRecords	Organizar arquivos
PutAwayPistols	Guardar pistolas
PutAwayRifles	Guardar espingardas
FixShower	Consertar chuveiro
CleanToilet	Limpar sanita
DressMannequin	Vestir manequim
PickUpTowels	Apanhar toalhas
RewindTapes	Rebobinar cassetes
StartFans	Ligar ventoinhas
DevelopPhotos	Revelar fotos
GetBiggolSword	Obter Espada Biggol
StopCharles	Desviar da rota de colisão
	
RevealCode	Mostrar código
DirtyHeader	SUJIDADE
AuthLeftOkay	Lado esq. OK
AuthRightOkay	Lado dir. OK
AuthLeftActive	Lado esq. ATIVO
AuthRightActive	Lado dir. ATIVO
AuthLeftNotActive	Lado esq. INATIVO
AuthRightNotActive	Lado dir. INATIVO
EngagementScreen	Prime um botão para iniciar.
DeleteButton	Eliminar
QuickChat	Chat rápido
QCLocationLaptop	Portátil
QCLocationSkeld	Skeld
QCLocationMira	Mira 
QCLocationPolus	Polus
QCSystemsStart	Iniciar
QCSystemsKick	Expulsar
QCCrewI	Eu
QCCrewMe	Eu
QCCrewNoOne	Ninguém
QCAccAKilledB	{0} eliminou {1}
QCAccAKilledBNeg	{0} não eliminou {1}
QCAccAIsSuspicious	{0} é suspeito(a)
QCAccAIsSuspiciousNeg	{0} é fixe
QCAccASawBVent	{0} viu {1} na vent.
QCAccASawBVentNeg	{0} nunca viu {1} na vent.
QCAccAWasChasingB	{0} perseguia {1}
QCAccAWasChasingBNeg	{0} não perseguia {1}
QCAccAIsLying	{0} mente
QCAccAIsLyingNeg	{0} diz a verdade
QCAccVoteA	votar {0}
QCAccVoteANeg	não votar {0}
QCAccADidntReport	{0} não denunciou o cadáver
QCResYes	Sim
QCResNo	Não
QCResDontKnow	Não sei
QCResDontKnowNeg	Talvez
QCResAWas	{0} estava
QCResAWasNeg	{0} não estava
QCResADid	{0} fez
QCResADidNeg	{0} não fez
QCResVote	Votar
QCResVoteNeg	Ignorar votação
QCResAWasAtB	{0} estava no(a): {1}
QCResAWasAtBNeg	{0} não estava no(a): {1}
QCResRip	descansa em paz
QCResRipNeg	Tchau
QCResLies	mentira
QCResLiesNeg	ok
QCQstWhere	onde?
QCQstWho	quem?
QCQstWhoWasWith	{0} estava com quem?
QCQstWhatWasADoing	{0} fazia o quê?
QCQstWhoFixedA	quem reparou {0}?
QCQstWhereWasA	{0} estava onde?
QCQstBodyOrMeeting	Isto era um cadáver ou uma reunião de emergência?
QCStaASawB	{0} viu {1}
QCStaAWasWithB	{0} estava com {1}
QCStaADidB	{0} fez: {1}
QCStaASelfReported	{0} denunciou-se
QCStaDoubleKill	Foi uma eliminação dupla
QCStaWasSelfReport	Foi uma autodenúncia
QCStaPleaseDoTasks	Façam as vossas tarefas
QCStaBodyWasInA	Local do cadáver: {0}
QCStaACalledMeeting	{0} pediu uma reunião
QCLocation	Local
QCSystems	Sistemas
QCCrew	Tripulação
QCAccusation	Acusação
QCResponse	Resposta
QCQuestion	Questão
QCStatements	Testemunhos
ChatType	Tipo de chat
QuickChatOnly	Apenas chat rápido
FreeChatOnly	Apenas chat livre
FreeOrQuickChat	Chat rápido ou livre
DateOfBirth	Data de nascimento
DateOfBirthEnter	Introduz a data de nascimento:
Month	Mês:
Day	Dia:
Year	Ano:
January	Janeiro
February	Fevereiro
March	Março
April	Abril
May	Maio
June	Junho
July	Julho
August	Agosto
September	Setembro
October	Outubro
November	Novembro
December	Dezembro
Submit	Enviar
	
QCAccAKilledB_QCCrewMe_ANY	Eliminei {1}
QCAccAKilledB_QCCrewMe_QCCrewNoOne	Não eliminei ninguém
QCAccAKilledB_QCCrewMe_QCCrewMe	
QCAccAKilledB_ANY_QCCrewMe	{0} eliminou-me
QCAccAKilledB	{0} eliminou {1}
QCAccAKilledB_ANY_QCCrewNoOne	{0} não eliminou ninguém
QCAccAKilledB_QCCrewNoOne_QCCrewMe	Ninguém me eliminou
QCAccAKilledB_QCCrewNoOne_ANY	Ninguém eliminou {1}
QCAccAKilledB_QCCrewNoOne_QCCrewNoOne	Não houve eliminações
QCAccAKilledBNeg_QCCrewMe_ANY	Não eliminei {1}
QCAccAKilledBNeg_QCCrewMe_QCCrewNoOne	Não eliminei ninguém
QCAccAKilledBNeg_QCCrewMe_QCCrewMe	Não me suicidei
QCAccAKilledBNeg_ANY_QCCrewMe	{0} não me eliminou
QCAccAKilledBNeg	{0} não eliminou {1}
QCAccAKilledBNeg_ANY_QCCrewNoOne	{0} não eliminou ninguém
QCAccAKilledBNeg_QCCrewNoOne_QCCrewMe	
QCAccAKilledBNeg_QCCrewNoOne_ANY	
QCAccAKilledBNeg_QCCrewNoOne_QCCrewNoOne	
QCAccAIsSuspicious_QCCrewMe	Suspeitam de mim
QCAccAIsSuspicious	Suspeitam de {0}
QCAccAIsSuspicious_QCCrewNoOne	Não há suspeitos
QCAccAIsSuspiciousNeg_QCCrewMe	Sou fixe
QCAccAIsSuspiciousNeg	{0} é fixe
QCAccAIsSuspiciousNeg_QCCrewNoOne	São todos suspeitos
QCAccASawBVent_QCCrewMe_ANY	Vi {1} na vent.
QCAccASawBVent_QCCrewMe_QCCrewNoOne	Não vi ninguém na ventilação
QCAccASawBVent_QCCrewMe_QCCrewMe	
QCAccASawBVent_ANY_QCCrewMe	{0} viu-me na ventilação
QCAccASawBVent	{0} viu {1} na ventilação
QCAccASawBVent_ANY_QCCrewNoOne	{0} não viu ninguém na ventilação
QCAccASawBVent_QCCrewNoOne_QCCrewMe	Ninguém me viu na ventilação
QCAccASawBVent_QCCrewNoOne_ANY	Ninguém viu {1} na ventilação
QCAccASawBVent_QCCrewNoOne_QCCrewNoOne	Ninguém foi visto na ventilação
QCAccASawBVentNeg_QCCrewMe_ANY	Nunca vi {1} na vent.
QCAccASawBVentNeg_QCCrewMe_QCCrewNoOne	Não vi ninguém na ventilação
QCAccASawBVentNeg_QCCrewMe_QCCrewMe	
QCAccASawBVentNeg_ANY_QCCrewMe	{0} nunca me viu na ventilação
QCAccASawBVentNeg	{0} nunca viu {1} na ventilação
QCAccASawBVentNeg_ANY_QCCrewNoOne	{0} não viu ninguém na ventilação
QCAccASawBVentNeg_QCCrewNoOne_QCCrewMe	Nunca me viram na ventilação
QCAccASawBVentNeg_QCCrewNoOne_ANY	Nunca viram {1} na ventilação
QCAccASawBVentNeg_QCCrewNoOne_QCCrewNoOne	Ninguém foi visto na ventilação
QCAccAWasChasingB_QCCrewMe_ANY	Perseguia {1}
QCAccAWasChasingB_QCCrewMe_QCCrewNoOne	Não perseguia ninguém
QCAccAWasChasingB_QCCrewMe_QCCrewMe	
QCAccAWasChasingB_ANY_QCCrewMe	{0} perseguia-me
QCAccAWasChasingB	{0} perseguia {1}
QCAccAWasChasingB_ANY_QCCrewNoOne	{0} não perseguia ninguém
QCAccAWasChasingB_QCCrewNoOne_QCCrewMe	Ninguém me perseguia
QCAccAWasChasingB_QCCrewNoOne_ANY	Ninguém perseguia {1}
QCAccAWasChasingB_QCCrewNoOne_QCCrewNoOne	Não havia perseguições
QCAccAWasChasingBNeg_QCCrewMe_ANY	Não perseguia {1}
QCAccAWasChasingBNeg_QCCrewMe_QCCrewNoOne	Não perseguia ninguém
QCAccAWasChasingBNeg_QCCrewMe_QCCrewMe	
QCAccAWasChasingBNeg_ANY_QCCrewMe	{0} não me perseguia
QCAccAWasChasingBNeg	{0} não perseguia {1}
QCAccAWasChasingBNeg_ANY_QCCrewNoOne	{0} não perseguia ninguém
QCAccAWasChasingBNeg_QCCrewNoOne_QCCrewMe	
QCAccAWasChasingBNeg_QCCrewNoOne_ANY	
QCAccAWasChasingBNeg_QCCrewNoOne_QCCrewNoOne	
QCAccAIsLying_QCCrewMe	Estou a mentir
QCAccAIsLying	{0} está a mentir
QCAccAIsLying_QCCrewNoOne	Ninguém está a mentir
QCAccAIsLyingNeg_QCCrewMe	Estou a dizer a verdade
QCAccAIsLyingNeg	{0} está a dizer a verdade
QCAccAIsLyingNeg_QCCrewNoOne	Ninguém está a dizer a verdade
QCAccVoteA_QCCrewMe	Votem em mim
QCAccVoteA	Votem em {0}
QCAccVoteA_QCCrewNoOne	Não votem em ninguém
QCAccVoteANeg_QCCrewMe	Não votem em mim
QCAccVoteANeg	Não votem em {0}
QCAccVoteANeg_QCCrewNoOne	
QCAccADidntReport_QCCrewMe	Não denunciei o cadáver
QCAccADidntReport	{0} não denunciou o cadáver
QCAccADidntReport_QCCrewNoOne	
QCResAWas_QCCrewMe	Eu estava
QCResAWas	{0} estava
QCResAWas_QCCrewNoOne	Ninguém estava
