KEY ID	T.Chinese
HowToPlayText42	首先，請決定一起遊玩的對象！\n\n如果您想在線上和朋友一起遊玩，請設定成「私人」並把房間代碼分享給朋友。\n\n如果您想和世界各地的人一起遊玩，請設定成「公開」。
HowToPlayText43	加入更多任務？把行走速度變快？增加更多偽裝者？身為主持者，您可以變更這些設定。不過，請務必先與其他玩家確認這些變更。
HowToPlayText44	如果有人表現無禮或濫發訊息，主持者可以暫時踢出玩家作為警告，或禁止玩家進入特定線上房間。
HowToPlayTextMap	玩家可以存取個人地圖，以協助在船上四處移動。
HowToPlayTextCrew1	目標：填滿團隊任務列或找出偽裝者。
HowToPlayTextCrew2	完成任務以填滿量表。
HowToPlayTextCrew3	處理偽裝者的破壞。
HowToPlayTextCrew4	在發現偽裝者時召開緊急會議。
HowToPlayTextCrew5	舉報所發現的屍體。
HowToPlayTextCrew6	檢查管理室地圖和保全系統以追蹤可疑活動。
HowToPlayTextImp1	目標：殺死船員。
HowToPlayTextImp2	混入船員之中。
HowToPlayTextImp3	經由通風口隱匿行動。
HowToPlayTextImp4	假裝執行任務。
HowToPlayTextImp5	在船上搞破壞並混淆船員。
HowToPlayTextImp6	關門並困住受害者。
HowToPlayTextImp7	在冷卻時間之間殺死船員。
HowToPlayText5	在面對面遊玩時，玩家不能彼此交談，以確保船員和偽裝者之間的遊戲公平性。\n\n如果有玩家被偽裝者殺害，該玩家在遊戲結束前都不能說話。\n\n鬼魂仍需執行獲指派的任務，以嘗試使船員獲勝。
HowToPlayText6	如果有人舉報發現屍體或召開緊急會議，船員會一起討論他們所掌握關於偽裝者的情報。\n\n此時玩家可以公開談論自己認為偽裝者是誰及所掌握的情報。在面對面遊玩時，由於鬼魂已經知道偽裝者是誰，因此不得說話。\n\n偽裝者必須試著證明自己的無辜，或是指控其他船員。
HowToPlayText7	討論後，請把票投給您認為是偽裝者的人。\n\n得到最多票的玩家將會被逐出船上，因此請明智地投票！\n\n如果您沒有足夠的資訊，而且其他船員也都這麼認為，則可以跳過投票以避免逐出無辜之人，並收集更多資訊。
HowToPlayText81	在自由模式中練習！
HowToPlayText82	以船員的身分自行設定任務，或扮演偽裝者來演練殺人謀略！
SettingsGeneral	一般
SettingsControls	控制
SettingsSound	聲音
SettingsGraphics	圖像
SettingsData	資料
SettingsCensorChat	聊天審查
SettingsMusic	音樂
SettingsSFX	音效
SettingsOn	開
SettingsOff	關
SettingsSendTelemetry	傳送遙測
SettingsControlMode	控制模式
SettingsTouchMode	觸控
SettingsJoystickMode	搖桿
SettingsKeyboardMode	滑鼠+鍵盤
SettingsFullscreen	全螢幕
SettingsVSync	垂直同步
SettingsResolution	解析度
SettingsApply	套用
SettingsPersonalizeAds	個人化廣告
SettingsLanguage	語言
SettingsJoystickSize	大小
SettingsMouseMode	滑鼠
MatchMapName	地圖：
MatchLanguage	聊天：
MatchImpostors	偽裝者：
MatchMaxPlayers	玩家上限：
Cancel	取消
Confirm	確認
PlayerColor	色彩
PlayerHat	帽子
PlayerSkin	外觀
PlayerPet	寵物
GameSettings	遊戲
GameRecommendedSettings	建議設定
GameCustomSettings	自訂設定
GameMapName	地圖
GameNumImpostors	偽裝者數
GameNumMeetings	緊急會議數
GameDiscussTime	討論時間
GameVotingTime	投票時間
GamePlayerSpeed	玩家速度
GameCrewLight	船員視野
GameImpostorLight	偽裝者視野
GameKillCooldown	殺人冷卻時間
GameKillDistance	殺人距離
GameCommonTasks	普通任務數
GameLongTasks	長任務數
GameShortTasks	短任務數
GameEmergencyCooldown	緊急會議冷卻時間
GameSecondsAbbrev	{0} 秒
GameConfirmImpostor	逐出後確認
GameVisualTasks	視覺性任務
GameAnonymousVotes	匿名投票
GameTaskBarMode	任務列更新
SettingNormalTaskMode	持續
SettingMeetingTaskMode	會議
SettingInvisibleTaskMode	永不
Limit	限制
RoomCode	代碼
LeaveGame	離開遊戲
ReturnToGame	返回遊戲
LocalHelp	遇到連線問題？\n\n● 確定所有人都已連線至相同的 WiFi 名稱\n● 確定所有人的版本都相同 (顯示在左上角)\n● 確定 WiFi 訊號夠強\n● 有時換人主持能協助解決問題\n● 有時重新啟動應用程式能協助解決問題...\n● 有時重新啟動手機能協助解決問題...\n● 還是有問題？在我們的 Discord 頻道上告訴我們！
OnlineHelp	該如何進行？\n\n● 主持遊戲時，在開始按鈕旁邊會顯示一組遊戲代碼。\n● 跟朋友分享該代碼以建立私人房間。\n● 或點擊「私人」以在「尋找遊戲」中公開該房間。\n● 主持者可以在可聊天時禁止玩家進入或踢出玩家。\n● 還是有問題？在我們的 Discord 頻道上告訴我們！
EmergencyCount	船員 {0} 剩下\n\n\n\n次緊急會議召開次數
EmergencyNotReady	船員必須等候\n\n\n\n才能再次召開緊急會議
EmergencyDuringCrisis	無法在發生危機時\n召開緊急會議
EmergencyRequested	已要求召開緊急會議\n正在等候主持者
AdPolicyTitle	廣告政策
AdPolicyText	我們是否可以使用您的個人資料來為您提供量身打造的廣告？如果您按一下「是」，我們如 Google AdMob 跟 Unity Ads 的廣告合作夥伴將會自動收集資料，並使用裝置識別碼和 Cookie 來提供個人化的廣告。如果您按一下「否」，您仍可能會看到非個人化的廣告。若要移除所有廣告，請在[httpstore]這裡[]購買無廣告升級。當您主持遊戲時，您和您的朋友將不會看到任何廣告！若要深入了解我們和我們廣告合作夥伴的隱私權做法，請參閱我們的[https://innersloth.com/privacy.php]隱私權政策[]。您隨時都可以在設定選單的「資料」底下變更您的決定。
Accept	接受
RemoveAds	移除廣告
PlainYes	是
PlainNo	否
PrivacyPolicyTitle	隱私權政策
PrivacyPolicyText	Innersloth 負責處理《Among Us》的個人資料。請參閱我們的[https://innersloth.com/privacy.php]隱私權政策[]以了解我們的隱私權做法。您可以在「資料」底下管理您針對《Among Us》的個人資料設定。
ManageDataButton	管理資料收集
UnderstandButton	我了解
WaterPlants	幫植物澆水
WeatherEta	預估時間：{0} 秒
WeatherComplete	完成
RunDiagnostics	執行診斷
SettingShort	短
SettingMedium	中
SettingLong	長
SamplesPress	按下以開始
SamplesAdding	添加試劑
SamplesSelect	選取異常情況
SamplesThanks	謝謝您！
SamplesComplete	測試完成
AstDestroyed	已摧毀：{0}
TaskTestTitle	任務測試器 2000
BeginDiagnostics	開始診斷
UserLeftGame	{0} 已離開遊戲。
GameStarting	開始倒數：{0}
ChatRateLimit	太快。請等候 {0} 秒
Tasks	任務
MedscanRequested	已要求掃描
MedscanWaitingFor	正在等候 {0}
MedscanCompleted	掃描完成！
MedscanCompleteIn	掃描完成倒數：{0}
StatsTitle	統計資料
StatsBodiesReported	舉報屍體次數：\t
StatsEmergenciesCalled	召開緊急會議次數：\t
StatsTasksCompleted	完成任務次數：\t
StatsAllTasksCompleted	完成所有任務次數：\t
StatsSabotagesFixed	修復破壞次數：\t
StatsImpostorKills	偽裝者殺人次數：\t\t
StatsTimesMurdered	被謀殺次數：\t
StatsTimesEjected	被逐出次數：\t\t
StatsCrewmateStreak	連續扮演船員次數：\t
StatsGamesImpostor	扮演偽裝者次數：\t
StatsGamesCrewmate	扮演船員次數：\t
StatsGamesStarted	開始遊戲次數：\t
StatsGamesFinished	完成遊戲次數：\t
StatsImpostorVoteWins	偽裝者投票勝利次數：\t
StatsImpostorKillsWins	偽裝者殺人勝利次數：\t
StatsImpostorSabotageWins	偽裝者破壞勝利次數：\t
StatsCrewmateVoteWins	船員投票勝利次數：\t
StatsCrewmateTaskWins	船員任務勝利次數：\t
MonitorOxygen	監控樹木
StoreArtifacts	存放文物
FillCanisters	填滿罐子
InsertKeys	插入鑰匙
ResetSeismic	重設抗震穩定器
SeismicHoldToStop	按住以啟動抗震穩定器
SeismicNominal	地震活動正常
ScanBoardingPass	掃描登船證
FixWeatherNode	修復氣候節點
OpenWaterways	打開水道
ReplaceWaterJug	更換水壺
RepairDrill	修理鑽頭
AlignTelescope	對準望遠鏡
RecordTemperature	記錄溫度
RebootWifi	重新啟動 Wifi
WifiRebootRequired	需要重新啟動
WifiPleaseWait	請稍候
WifiPleaseReturnIn	請於下列時間後返回：{0}
WifiPleasePowerOn	請開啟電源
WifiRebootComplete	重新啟動完成
Outside	戶外
Dropship	運輸船
Decontamination2	除污室
Specimens	標本室
BoilerRoom	鍋爐室
GameOverImpostorDead	在正常情況下，船員已經獲勝了，因為偽裝者已經死亡。針對自由模式，我們會改為復活所有人。
GameOverImpostorKills	在正常情況下，偽裝者已經獲勝了，因為船員已不可能獲勝。針對自由模式，我們會改為復活所有人。
GameOverTaskWin	在正常情況下，船員已經獲勝了，因為任務列已經填滿。針對自由模式，我們會改為發布新任務。
GameOverSabotage	在正常情況下，偽裝者已經獲勝了，因為已造成嚴重破壞。但我們會改為將它關閉。
HowToPlayText2Switch	使用您的 Nintendo Switch Online 會員與 4 到 15 個玩家在線上或透過本地 Wi-Fi 一起遊玩！
VentDirection	通風口方向
VentMove	經由通風口移動
MenuNavigate	引導
NsoError	無法連上網路。
ErrorServerOverload	《Among Us》伺服器已超載。\r\n\r\n非常抱歉！請稍後再試！
ErrorIntentionalLeaving	您在刻意斷線之後，需要再等候 {0} 分鐘才能加入另一個遊戲。
ErrorFocusLost	您已經斷線，因為有另一個應用程式將《Among Us》暫停。
ErrorBanned	您被禁止進入 {0}。\r\n\r\n您無法重新加入該房間。
ErrorKicked	您被踢出 {0}。\r\n\r\n如果該房間尚未開始遊戲，您可以重新加入。
ErrorBannedNoCode	您被禁止進入該房間。\r\n\r\n您無法重新加入該房間。
ErrorKickedNoCode	您被踢出該房間。\r\n\r\n如果該房間尚未開始遊戲，您可以重新加入。
ErrorHacking	您因作弊而被禁止進入。\r\n\r\n請停止此行為。
ErrorFullGame	您試圖加入的遊戲已滿。\r\n\r\n請詢問主持者您是否能在下回合加入。
ErrorStartedGame	您試圖加入的遊戲已經開始。\r\n\r\n請詢問主持者您是否能在下回合加入。
ErrorNotFoundGame	找不到您在尋找的遊戲。
ErrorInactivity	遊戲伺服器已停止此遊戲。可能是因為處於非使用狀態。
ErrorGenericOnlineDisconnect	您已和伺服器斷線。\r\n如果此情況經常發生，請確認您的網路強度。\r\n這也可能是伺服器問題。
ErrorGenericLocalDisconnect	您已和主持者斷線。\r\n\r\n如果此情況經常發生，請確認您的 WiFi 強度。
ErrorInvalidName	遊戲伺服器拒絕此使用者名稱：{0}
ErrorUnknown	有未知錯誤使您從伺服器斷線。
ErrorIncorrectVersion	您執行的是較舊版本的遊戲。\r\n\r\n請更新以和其他人一起遊玩。
	
ServerNA	北美洲
ServerEU	歐洲
ServerAS	亞洲
ServerSA	南美洲
LangEnglish	English
LangFrench	Français
LangItalian	Italiano
LangGerman	Deutsch
LangSpanish	Español
LangSpanishLATAM	Español (Latinoamérica)
LangBrazPort	Português (Brasil)
LangPort	Português
LangRussian	Русский
LangJapanese	日本語
LangKorean	한국어
LangDutch	Nederlands
LangFilipino	Bisaya
PlayerName	玩家
MyTablet	我的平板
Headquarters	總部
DownloadTestEstTimeS	預估時間：{0} 秒
DownloadTestEstTimeMS	預估時間：{0} 分 {1} 秒
DownloadTestEstTimeHMS	預估時間：{0} 小時 {1} 分 {2} 秒
DownloadTestEstTimeDHMS	預估時間：{0} 天 {1} 小時 {2} 分 {3} 秒
DownloadComplete	完成
GrabCoffee	去喝杯咖啡
TakeBreak	休息一下
DontNeedWait	您不需要一直等
DoSomethingElse	去做點別的事
NodeTB	節點_TB
NodeIRO	節點_IRO
NodeGI	節點_GI
NodePD	節點_PD
NodeCA	節點_CA
NodeMLG	節點_MLG
Vending	販賣
OtherLanguage	其他
ImposterAmtAny	1-3
	
VitalsORGN	橘
VitalsBLUE	藍
VitalsRED	紅
VitalsBRWN	棕
VitalsGRN	綠
VitalsPINK	粉紅
VitalsWHTE	白
VitalsYLOW	黃
VitalsBLAK	黑
VitalsPURP	紫
VitalsCYAN	青
VitalsLIME	黃綠
ColorOrange	橘色
ColorBlue	藍色
ColorRed	紅色
ColorBrown	棕色
ColorGreen	綠色
ColorPink	粉紅色
ColorWhite	白色
ColorYellow	黃色
ColorBlack	黑色
ColorPurple	紫色
ColorCyan	青色
ColorLime	黃綠色
ColorMaroon	深紅色
ColorRose	玫紅色
ColorBanana	蕉黃色
ColorGray	灰色
ColorTan	褐色
ColorCoral	珊瑚紅
MedID	識別：
MedC	色彩：
MedHT	身高：
MedBT	血型：
MedWT	體重：
MedETA	預估時間：{0}
MedHello	您好！
LobbySizeWarning	《Among Us》至少需要 4 個玩家，但是建議由 5 個或更多的玩家參與。\n\n只有 4 個玩家的遊戲很快就會結束，且獲勝的通常都是偽裝者。
Okay	好
OkayDontShow	好，不要再顯示
Nevermind	還是算了
CamEast	東側
CamCentral	中央
CamNortheast	東北側
CamSouth	南側
CamSouthwest	西南側
CamNorthwest	西北側
LoadingFailed	載入失敗：
PetFailFetchData	無法擷取寵物資料
BadResult	不良結果
More	剩下 {0} 次
Processing	處理中
ExitGame	結束遊戲
WaitingForHost	正在等候主持者
LeftGameError	{0} 因錯誤而離開遊戲。
PlayerWasBannedBy	{0} 被 {1} 禁止進入
PlayerWasKickedBy	{0} 被 {1} 踢出
Dummy	假人
Bad	錯誤
Status	狀態：
Fine	良好
OK	好
SecondsAbbv	{0} 秒
PetTryOn	裝備看看吧！
DataPolicyWhat	會收集哪些資料？
	
	
	
VaultRoom	保險庫
Cockpit	駕駛艙
Armory	軍械庫
Kitchen	廚房
ViewingDeck	觀景台
HallOfPortraits	肖像廳
Medical	醫務室
CargoBay	貨倉
Ventilation	通風室
Showers	淋浴間
Engine	引擎室
Brig	牢房
MeetingRoom	會議室
Records	檔案室
Lounge	休息室
GapRoom	間隙室
MainHall	大廳
	
PolishRuby	拋光紅寶石
ResetBreakers	重設斷路器
Decontaminate	除污
MakeBurger	製作漢堡
UnlockSafe	解鎖保險箱
SortRecords	將記錄分類
PutAwayPistols	收起手槍
PutAwayRifles	收起步槍
FixShower	修復淋浴間
CleanToilet	清理馬桶
DressMannequin	裝飾假人
PickUpTowels	撿起毛巾
RewindTapes	倒帶
StartFans	啟動風扇
DevelopPhotos	沖洗相片
GetBiggolSword	取得 Biggol Sword
StopCharles	避開墜毀路線
	
RevealCode	顯示代碼
DirtyHeader	骯髒程度
AuthLeftOkay	左側正常
AuthRightOkay	右側正常
AuthLeftActive	左側已啟動
AuthRightActive	右側已啟動
AuthLeftNotActive	左側未啟動
AuthRightNotActive	右側未啟動
EngagementScreen	按下任意按鈕以開始。
DeleteButton	刪除
QuickChat	快速聊天
QCLocationLaptop	筆記型電腦
QCLocationSkeld	Skeld
QCLocationMira	Mira
QCLocationPolus	Polus
QCSystemsStart	開始
QCSystemsKick	踢出
QCCrewI	我
QCCrewMe	我
QCCrewNoOne	沒有人
QCAccAKilledB	{0}殺死{1}
QCAccAKilledBNeg	{0}沒有殺死{1}
QCAccAIsSuspicious	{0}很可疑
QCAccAIsSuspiciousNeg	{0}是好人
QCAccASawBVent	{0}看到{1}使用通風口
QCAccASawBVentNeg	{0}沒看過{1}使用通風口
QCAccAWasChasingB	{0}在追殺{1}
QCAccAWasChasingBNeg	{0}沒有在追殺{1}
QCAccAIsLying	{0}在說謊
QCAccAIsLyingNeg	{0}說的是實話
QCAccVoteA	投給{0}
QCAccVoteANeg	不要投給 {0}
QCAccADidntReport	{0}沒有舉報屍體
QCResYes	是
QCResNo	否
QCResDontKnow	不知道
QCResDontKnowNeg	也許
QCResAWas	{0}是
QCResAWasNeg	{0}不是
QCResADid	{0}做了
QCResADidNeg	{0}沒有做
QCResVote	投票
QCResVoteNeg	跳過投票
QCResAWasAtB	{0}在{1}
QCResAWasAtBNeg	{0}不在{1}
QCResRip	安息吧
QCResRipNeg	嘿
QCResLies	說謊
QCResLiesNeg	好
QCQstWhere	哪裡？
QCQstWho	誰？
QCQstWhoWasWith	誰和{0}在一起？
QCQstWhatWasADoing	{0}在做什麼？
QCQstWhoFixedA	誰修復了{0}？
QCQstWhereWasA	{0}在哪裡？
QCQstBodyOrMeeting	這是發現屍體還是緊急會議？
QCStaASawB	{0}看到{1}
QCStaAWasWithB	{0}和{1} 一起
QCStaADidB	{0}做了{1}
QCStaASelfReported	{0}自行舉報是兇手
QCStaDoubleKill	那是雙殺
QCStaWasSelfReport	那是兇手自行舉報
QCStaPleaseDoTasks	請完成您的任務
QCStaBodyWasInA	屍體位於{0}
QCStaACalledMeeting	{0}召開了會議
QCLocation	地點
QCSystems	系統
QCCrew	船員
QCAccusation	指控
QCResponse	回應
QCQuestion	問題
QCStatements	聲明
ChatType	聊天類型
QuickChatOnly	僅限快速聊天
FreeChatOnly	僅限自由聊天
FreeOrQuickChat	自由或快速聊天
DateOfBirth	出生年月日
DateOfBirthEnter	請輸入您的出生年月日：
Month	月：
Day	日：
Year	年：
January	一月
February	二月
March	三月
April	四月
May	五月
June	六月
July	七月
August	八月
September	九月
October	十月
November	十一月
December	十二月
Submit	提交
	
QCAccAKilledB_QCCrewMe_ANY	我殺了{1}
QCAccAKilledB_QCCrewMe_QCCrewNoOne	我沒有殺死任何人
QCAccAKilledB_QCCrewMe_QCCrewMe	
QCAccAKilledB_ANY_QCCrewMe	{0}殺了我
QCAccAKilledB	{0}殺了{1}
QCAccAKilledB_ANY_QCCrewNoOne	{0} 沒有殺死任何人
QCAccAKilledB_QCCrewNoOne_QCCrewMe	沒有人殺死我
QCAccAKilledB_QCCrewNoOne_ANY	沒有人殺死{1}
QCAccAKilledB_QCCrewNoOne_QCCrewNoOne	沒有人殺死任何人
QCAccAKilledBNeg_QCCrewMe_ANY	我沒有殺死{1}
QCAccAKilledBNeg_QCCrewMe_QCCrewNoOne	我沒有殺死任何人
QCAccAKilledBNeg_QCCrewMe_QCCrewMe	我沒有殺死自己
QCAccAKilledBNeg_ANY_QCCrewMe	{0}沒有殺死我
QCAccAKilledBNeg	{0}沒有殺死{1}
QCAccAKilledBNeg_ANY_QCCrewNoOne	{0}沒有殺死任何人
QCAccAKilledBNeg_QCCrewNoOne_QCCrewMe	
QCAccAKilledBNeg_QCCrewNoOne_ANY	
QCAccAKilledBNeg_QCCrewNoOne_QCCrewNoOne	
QCAccAIsSuspicious_QCCrewMe	我很可疑
QCAccAIsSuspicious	{0}很可疑
QCAccAIsSuspicious_QCCrewNoOne	沒有人很可疑
QCAccAIsSuspiciousNeg_QCCrewMe	我是好人
QCAccAIsSuspiciousNeg	{0}是好人
QCAccAIsSuspiciousNeg_QCCrewNoOne	大家都是壞人
QCAccASawBVent_QCCrewMe_ANY	我看到{1}使用通風口
QCAccASawBVent_QCCrewMe_QCCrewNoOne	我沒有看到任何人使用通風口
QCAccASawBVent_QCCrewMe_QCCrewMe	
QCAccASawBVent_ANY_QCCrewMe	{0}看到我使用通風口
QCAccASawBVent	{0}看到{1}使用通風口
QCAccASawBVent_ANY_QCCrewNoOne	{0}沒有看到任何人使用通風口
QCAccASawBVent_QCCrewNoOne_QCCrewMe	沒有人看到我使用通風口
QCAccASawBVent_QCCrewNoOne_ANY	沒有人看到{1}使用通風口
QCAccASawBVent_QCCrewNoOne_QCCrewNoOne	沒有人看到任何人使用通風口
QCAccASawBVentNeg_QCCrewMe_ANY	我沒看過{1}使用通風口
QCAccASawBVentNeg_QCCrewMe_QCCrewNoOne	我沒看過任何人使用通風口
QCAccASawBVentNeg_QCCrewMe_QCCrewMe	
QCAccASawBVentNeg_ANY_QCCrewMe	{0}沒看過我使用通風口
QCAccASawBVentNeg	{0}沒看過{1}使用通風口
QCAccASawBVentNeg_ANY_QCCrewNoOne	{0}沒看過任何人使用通風口
QCAccASawBVentNeg_QCCrewNoOne_QCCrewMe	沒有人看過我使用通風口
QCAccASawBVentNeg_QCCrewNoOne_ANY	沒有人看過{1}使用通風口
QCAccASawBVentNeg_QCCrewNoOne_QCCrewNoOne	沒有人看過任何人使用通風口
QCAccAWasChasingB_QCCrewMe_ANY	我在追殺{1}
QCAccAWasChasingB_QCCrewMe_QCCrewNoOne	我沒有在追殺任何人
QCAccAWasChasingB_QCCrewMe_QCCrewMe	
QCAccAWasChasingB_ANY_QCCrewMe	{0}在追殺我
QCAccAWasChasingB	{0}在追殺{1}
QCAccAWasChasingB_ANY_QCCrewNoOne	{0}沒有在追殺任何人
QCAccAWasChasingB_QCCrewNoOne_QCCrewMe	沒有人在追殺我
QCAccAWasChasingB_QCCrewNoOne_ANY	沒有人在追殺{1}
QCAccAWasChasingB_QCCrewNoOne_QCCrewNoOne	沒有人在追殺任何人
QCAccAWasChasingBNeg_QCCrewMe_ANY	我沒有在追殺{1}
QCAccAWasChasingBNeg_QCCrewMe_QCCrewNoOne	我沒有在追殺任何人
QCAccAWasChasingBNeg_QCCrewMe_QCCrewMe	
QCAccAWasChasingBNeg_ANY_QCCrewMe	{0}沒有在追殺我
QCAccAWasChasingBNeg	{0}沒有在追殺{1}
QCAccAWasChasingBNeg_ANY_QCCrewNoOne	{0}沒有在追殺任何人
QCAccAWasChasingBNeg_QCCrewNoOne_QCCrewMe	
QCAccAWasChasingBNeg_QCCrewNoOne_ANY	
QCAccAWasChasingBNeg_QCCrewNoOne_QCCrewNoOne	
QCAccAIsLying_QCCrewMe	我在說謊
QCAccAIsLying	{0}在說謊
QCAccAIsLying_QCCrewNoOne	沒有人在說謊
QCAccAIsLyingNeg_QCCrewMe	我說的是實話
QCAccAIsLyingNeg	{0}說的是實話
QCAccAIsLyingNeg_QCCrewNoOne	沒有人說的是實話
QCAccVoteA_QCCrewMe	投給我
QCAccVoteA	投給{0}
QCAccVoteA_QCCrewNoOne	不要投給任何人
QCAccVoteANeg_QCCrewMe	不要投給我
QCAccVoteANeg	不要投給{0}
QCAccVoteANeg_QCCrewNoOne	
QCAccADidntReport_QCCrewMe	我沒有舉報屍體
QCAccADidntReport	{0}沒有舉報屍體
QCAccADidntReport_QCCrewNoOne	
QCResAWas_QCCrewMe	我是
QCResAWas	{0}是
QCResAWas_QCCrewNoOne	沒有人是
QCResAWasNeg_QCCrewMe	我不是
QCResAWasNeg	{0}不是
QCResAWasNeg_QCCrewNoOne	
QCResADid_QCCrewMe	我做了
QCResADid	{0}做了
QCResADid_QCCrewNoOne	沒有人做了
QCResADidNeg_QCCrewMe	我沒有做
QCResADidNeg	{0}沒有做
QCResADidNeg_QCCrewNoOne	
QCResAWasAtB_QCCrewMe_ANY	我在{1}
QCResAWasAtB	{0}在{1}
QCResAWasAtB_QCCrewNoOne_ANY	沒有人在{1}
QCResAWasAtBNeg_QCCrewMe_ANY	我不在{1}
QCResAWasAtBNeg	{0}不在{1}
QCResAWasAtBNeg_QCCrewNoOne_ANY	
QCQstWhoWasWith_QCCrewMe	誰和我在一起？
QCQstWhoWasWith	誰和{0}在一起？
QCQstWhoWasWith_QCCrewNoOne	誰獨自行動？
QCQstWhatWasADoing_QCCrewMe	
QCQstWhatWasADoing	{0}在做什麼？
QCQstWhatWasADoing_QCCrewNoOne	
QCQstWhereWasA_QCCrewMe	
QCQstWhereWasA	{0}在哪裡？
QCQstWhereWasA_QCCrewNoOne	
QCStaASawB_QCCrewMe_ANY	我看到{1}
QCStaASawB_QCCrewMe_QCCrewNoOne	我沒有看到任何人
QCStaASawB_QCCrewMe_QCCrewMe	
QCStaASawB_ANY_QCCrewMe	{0}看到我
QCStaASawB	{0}看到{1}
QCStaASawB_ANY_QCCrewNoOne	{0}沒有看到任何人
QCStaASawB_QCCrewNoOne_QCCrewMe	沒有人看到我
QCStaASawB_QCCrewNoOne_ANY	沒有人看到{1}
QCStaASawB_QCCrewNoOne_QCCrewNoOne	沒有人看到任何人
QCStaAWasWithB_QCCrewMe_ANY	我和{1}在一起
QCStaAWasWithB_QCCrewMe_QCCrewNoOne	我沒有和任何人在一起
QCStaAWasWithB_QCCrewMe_QCCrewMe	
