KEY ID	German
HowToPlayText42	Lege zuerst fest, mit wem du spielen möchtest!\n\nWenn du online mit Freunden spielen möchtest, dann stelle "Privat" ein und teile den Raum-Code.\n\nMöchtest du mit anderen aus der ganzen Welt spielen, dann stelle "Öffentlich" ein.
HowToPlayText43	Möchtest du mit mehr Aufgaben spielen? Wie wäre es mit höherem Tempo beim Gehen? Mehr Verräter? Als Host kannst du das einstellen. Stimme die Änderungen aber mit deinen Mitspielern ab.
HowToPlayText44	Sind Spieler unhöflich oder spammen, kann der Host sie als Warnung vorübergehend rauswerfen. Er kann Spieler auch für den jeweiligen Raum sperren.
HowToPlayTextMap	Die Spieler können eine persönliche Karte nutzen, um sich durchs Schiff zu bewegen.
HowToPlayTextCrew1	Ziel: Gruppen-Aufgabenleiste füllen oder Verräter enttarnen.
HowToPlayTextCrew2	Aufgaben erledigen, um Leiste zu füllen.
HowToPlayTextCrew3	Auf Sabotage des Verräters reagieren.
HowToPlayTextCrew4	Verräter gefunden? Notfall-Treffen!
HowToPlayTextCrew5	Leichen melden.
HowToPlayTextCrew6	Auf den Karten Admin und Security auf Verdächtiges achten.
HowToPlayTextImp1	Ziel: Besatzung ausschalten.
HowToPlayTextImp2	Unter die Besatzung mischen.
HowToPlayTextImp3	Durch Schächte kriechen.
HowToPlayTextImp4	Scheinbar Aufgaben erledigen.
HowToPlayTextImp5	Schiff sabotieren, Besatzung verwirren.
HowToPlayTextImp6	Opfer hinter Türen einsperren.
HowToPlayTextImp7	Besatzung zwischen Wartezeiten umbringen.
HowToPlayText5	Beim gemeinsamen Spielen in einem Raum herrscht Schweigepflicht, damit das Spiel für Besatzung und Verräter fair bleibt.\n\nWird ein Spieler vom Verräter getötet, darf der bis zum Spielende nicht reden.\n\nGeister können immer noch die zugewiesenen Aufgaben erledigen, um einen möglichen Sieg der Besatzung zu unterstützen.
HowToPlayText6	Meldet jemand eine Leiche oder beruft ein Notfall-Treffen ein, versammelt sich die Besatzung, um alles zu besprechen, was über den Verräter bekannt ist.\n\nDie Spieler können dann offen sagen, wen sie für den Verräter halten und welche Infos sie haben. Spielt ihr gemeinsam in einem Raum, dürfen Geister nicht reden, weil sie bereits wissen, wer der Verräter ist.\n\nVerräter müssen ihre Unschuld beweisen oder andere Besatzungsmitglieder beschuldigen.
HowToPlayText7	Nach der Besprechung stimmt ihr ab, wen ihr für den Verräter haltet.\n\nDer Spieler mit den meisten Stimmen wird aus dem Schiff geworfen. Also nie leichtfertig abstimmen!\n\nLiegen nicht genug Infos vor, könnt ihr als Besatzung beschließen, die Abstimmung zu überspringen, damit kein Unschuldiger rausgeworfen wird und ihr noch mehr Infos sammeln könnt.
HowToPlayText81	Übe im Modus "Freies Spiel"!
HowToPlayText82	Lege Aufgaben als Besatzungsmitglied selbst fest oder trainiere Mordstrategien als Verräter!
SettingsGeneral	Allgemein
SettingsControls	Steuerung
SettingsSound	Toneinstellungen
SettingsGraphics	Grafik
SettingsData	Daten
SettingsCensorChat	Chat-Zensur
SettingsMusic	Musik
SettingsSFX	SFX
SettingsOn	An
SettingsOff	Aus
SettingsSendTelemetry	Telemetrie senden
SettingsControlMode	Steuermodus
SettingsTouchMode	Touch
SettingsJoystickMode	Joystick
SettingsKeyboardMode	Maus und Tastatur
SettingsFullscreen	Vollbild
SettingsVSync	V-Sync
SettingsResolution	Auflösung
SettingsApply	Übernehmen
SettingsPersonalizeAds	Werbung personalisieren
SettingsLanguage	Sprache
SettingsJoystickSize	Größe
SettingsMouseMode	Maus
MatchMapName	Karte:
MatchLanguage	Chat:
MatchImpostors	Verräter:
MatchMaxPlayers	Max. Spieler:
Cancel	Abbrechen
Confirm	Bestätigen
PlayerColor	Farbe
PlayerHat	Hut
PlayerSkin	Skin
PlayerPet	Haustier
GameSettings	Spiel
GameRecommendedSettings	Empfohlen
GameCustomSettings	Benutzerdefiniert
GameMapName	Karte
GameNumImpostors	# Verräter
GameNumMeetings	# Notfall-Treffen
GameDiscussTime	Besprechungsdauer
GameVotingTime	Abstimmungsdauer
GamePlayerSpeed	Spielertempo
GameCrewLight	Besatzungssicht
GameImpostorLight	Verrätersicht
GameKillCooldown	Kill-Wartezeit
GameKillDistance	Kill-Distanz
GameCommonTasks	# Aufgaben für alle
GameLongTasks	# Lange Aufgaben
GameShortTasks	# Kurze Aufgaben
GameEmergencyCooldown	Notfall-Treffen-Wartezeit
GameSecondsAbbrev	{0}s
GameConfirmImpostor	Rauswürfe bestätigen
GameVisualTasks	Visuelle Aufgaben
GameAnonymousVotes	Anonym abstimmen
GameTaskBarMode	Aufgabenleiste-Updates
SettingNormalTaskMode	Immer
SettingMeetingTaskMode	Treffen
SettingInvisibleTaskMode	Nie
Limit	Limit
RoomCode	Code
LeaveGame	Spiel verlassen
ReturnToGame	Zurück zum Spiel
LocalHelp	Verbindungsprobleme?\n\n● Alle müssen mit demselben WLAN-Namen\nverbunden sein.\n● Alle müssen dieselbe Version nutzen\n(oben links).\n● Das WLAN-Signal muss stark genug sein.\n● Es hilft, wenn ein anderer Spieler hostet. \n● Es hilft, die App neu zu starten ...\n● Es hilft, das Smartphone neu zu starten ...\n● Weitere Probleme? Teile es uns auf Discord mit! 
OnlineHelp	Wie funktioniert das?\n\n● Hostest du ein Spiel, siehst du neben dem Start-Button einen Spiel-Code.\n● Teile den Spiel-Code mit Freunden, um einen privaten Raum zu erstellen.\n● Oder tippe "Privat" an, um den Raum für die "Spielsuche" öffentlich zu machen.\n● Der Host kann Spieler sperren oder rauswerfen,\n wenn ein Chat verfügbar ist.\n● Weitere Probleme? Teile es uns auf Discord mit! 
EmergencyCount	BESATZUNGSMITGLIED {0} HAT\n\n\n\nNOTFALL-TREFFEN ÜBRIG
EmergencyNotReady	BESATZUNGSMITGLIEDER MÜSSEN\n\n\n\nBIS ZUM NÄCHSTEN NOTFALL WARTEN
EmergencyDuringCrisis	NOTFALL-TREFFEN KÖNNEN NICHT IN\nKRISEN EINBERUFEN WERDEN
EmergencyRequested	NOTFALL-TREFFEN ERBETEN\nWARTEN AUF HOST
AdPolicyTitle	Richtlinien für Werbung
AdPolicyText	Dürfen wir deine persönlichen Daten verwenden, um Werbeanzeigen auf dich zuzuschneiden? Wenn du auf Ja klickst, sammeln unsere Werbepartner wie Google AdMob und Unity Ads automatisch Daten und nutzen Geräte-IDs und Cookies für personalisierte Anzeigen. Wenn du auf Nein klickst, bekommst du weiterhin nicht personalisierte Anzeigen zu sehen. Um alle Anzeigen loszuwerden, empfehlen wir den Kauf des werbefreien Upgrades [httpstore]hier[], dann sehen auch deine Freunde keine Anzeigen, wenn du hostest! Um mehr über den Datenschutz bei uns und unseren Werbepartnern zu erfahren, lies bitte unsere [https://innersloth.com/privacy.php]Datenschutzrichtlinie[]. Du kannst deine Entscheidung jederzeit im Menü Einstellungen unter „Daten“ ändern.
Accept	Annehmen
RemoveAds	Werbefrei
PlainYes	Ja
PlainNo	Nein
PrivacyPolicyTitle	Datenschutzrichtlinie
PrivacyPolicyText	Innersloth verarbeitet für Among Us Personendaten. Bitte lies unsere <link="https://innersloth.com/privacy.php">Datenschutzrichtlinie</link>, um mehr zu unserem Umgang mit Datenschutz zu erfahren. Die Einstellungen für deine persönlichen Daten für Among Us kannst du unter "Daten" verwalten.
ManageDataButton	Datensammlung verwalten
UnderstandButton	Verstanden
WaterPlants	Pflanzen gießen
WeatherEta	ETA: {0} s
WeatherComplete	Erledigt
RunDiagnostics	Diagnose ausführen
SettingShort	Kurz
SettingMedium	Mittel
SettingLong	Lang
SamplesPress	Zum Starten drucken
SamplesAdding	Reagenz hinzugeben
SamplesSelect	Anomalie wählen
SamplesThanks	Vielen Dank!
SamplesComplete	Test beendet
AstDestroyed	Zerstört: {0}
TaskTestTitle	Aufgabentester 2000
BeginDiagnostics	Diagnose starten
UserLeftGame	{0} hat Spiel verlassen.
GameStarting	Start in {0}
ChatRateLimit	Zu schnell. Warte {0} Sekunden.
Tasks	Aufgaben
MedscanRequested	Scan erbeten
MedscanWaitingFor	Warten auf {0}
MedscanCompleted	Scan fertig!
MedscanCompleteIn	Scan fertig in {0}.
StatsTitle	Statistiken
StatsBodiesReported	Gemeldete Leichen:\t
StatsEmergenciesCalled	Einberufene Treffen:\t
StatsTasksCompleted	Einzelne erledigte Aufgaben:\t
StatsAllTasksCompleted	Aufgabenleiste vervollständigt:\t
StatsSabotagesFixed	Behobene Sabotagen:\t
StatsImpostorKills	Verräter-Kills:\t\t
StatsTimesMurdered	Anzahl der Tode:\t
StatsTimesEjected	Anzahl der Rauswürfe:\t\t
StatsCrewmateStreak	Besatzungsserie:\t
StatsGamesImpostor	Verräterrolle:\t
StatsGamesCrewmate	Besatzungsrolle:\t
StatsGamesStarted	Gestartete Spiele:\t
StatsGamesFinished	Beendete Spiele:\t
StatsImpostorVoteWins	Verräter-Abstimmungssiege:\t
StatsImpostorKillsWins	Verräter-Kill-Siege:\t
StatsImpostorSabotageWins	Verräter-Sabotagesiege:\t
StatsCrewmateVoteWins	Besatzung-Abstimmungssiege:\t
StatsCrewmateTaskWins	Besatzung-Aufgabensiege:\t
MonitorOxygen	Baumkontrolle
StoreArtifacts	Artefakte packen
FillCanisters	Kanister füllen
InsertKeys	Aufschließen
ResetSeismic	Seismo-Stabilisatoren zurücksetzen
SeismicHoldToStop	Halten, um Seismo-Stabilisatoren zu aktivieren
SeismicNominal	Seismische Aktivität nominal
ScanBoardingPass	Bordkarte scannen
FixWeatherNode	Repariere Wettermodul
OpenWaterways	Wasser aufdrehen
ReplaceWaterJug	Wasserfass ersetzen
RepairDrill	Bohrer reparieren
AlignTelescope	Teleskop ausrichten
RecordTemperature	Temperatur aufzeichnen
RebootWifi	WLAN-Neustart
WifiRebootRequired	Neustart nötig
WifiPleaseWait	Bitte warten
WifiPleaseReturnIn	Bitte wiederkommen in {0}
WifiPleasePowerOn	Bitte einschalten
WifiRebootComplete	Neustart beendet
Outside	Außen
Dropship	Landekapsel
Decontamination2	Dekontamination
Specimens	Artenraum
BoilerRoom	Heizraum
GameOverImpostorDead	Eigentlich hätte jetzt die Besatzung gewonnen, weil der Verräter tot ist. Beim freien Spiel werden aber alle wiederbelebt.
GameOverImpostorKills	Eigentlich hätte jetzt der Verräter gewonnen, weil die Besatzung nicht mehr gewinnen kann. Beim freien Spiel werden aber alle wiederbelebt.
GameOverTaskWin	Eigentlich hätte jetzt die Besatzung gewonnen, weil die Aufgabenleiste voll ist. Beim freien Spiel werden aber neue Aufgaben erteilt.
GameOverSabotage	Eigentlich hätte jetzt der Verräter aufgrund der kritischen Sabotage gewonnen. Stattdessen schalten wir einfach ab.
HowToPlayText2Switch	Spielt mit eurer Nintendo Switch Online-Mitgliedschaft oder über das lokale WLAN mit 4 bis 15 Spielern online!
VentDirection	Lüftungsrichtung
VentMove	Durch Schacht gehen
MenuNavigate	Navigieren
NsoError	Verbindung zum Netzwerk fehlgeschlagen.
ErrorServerOverload	Die Server von Among Us sind überlastet.\r\n\r\nSorry! Bitte probiere es später erneut!
ErrorIntentionalLeaving	Nach einem absichtlichen Verbindungsabbruch kannst du {0} Minute(n) lang keinem weiteren Spiel beitreten.
ErrorFocusLost	Deine Verbindung wurde getrennt, da Among Us von einer anderen Anwendung angehalten wurde.
ErrorBanned	Du wurdest für {0} gesperrt.\r\n\r\nDiesen Raum kannst du nicht mehr betreten.
ErrorKicked	Du wurdest aus {0} rausgeworfen.\r\n\r\nDu kannst diesen Raum erneut betreten, wenn er noch nicht gestartet wurde.
ErrorBannedNoCode	Du wurdest für diesen Raum gesperrt.\r\n\r\nDiesen Raum kannst du nicht mehr betreten.
ErrorKickedNoCode	Du wurdest aus diesem Raum rausgeworfen.\r\n\r\nDu kannst diesen Raum erneut betreten, wenn er noch nicht gestartet wurde.
ErrorHacking	Du wurdest aufgrund von Hacking gesperrt.\r\n\r\nLass das bitte.
ErrorFullGame	Das Spiel, dem du beitreten wolltest, ist voll.\r\n\r\nKontaktiere den Host, um zu fragen, ob du in der nächsten Runde dabei sein kannst.
ErrorStartedGame	Das Spiel, dem du beitreten wolltest, hat bereits begonnen.\r\n\r\nKontaktiere den Host, um zu fragen, ob du in der nächsten Runde dabei sein kannst.
ErrorNotFoundGame	Das von dir gesuchte Spiel konnte nicht gefunden werden.
ErrorInactivity	Der Server hat dieses Spiel gestoppt. Möglicherweise aufgrund von Inaktivität.
ErrorGenericOnlineDisconnect	Deine Verbindung zum Server wurde getrennt.\r\nPassiert dies öfter, dann solltest du die Signalstärke deiner Netzwerkverbindung überprüfen.\r\nDies kann aber auch ein Serverproblem sein.
ErrorGenericLocalDisconnect	Deine Verbindung zum Host wurde getrennt.\r\n\r\nPassiert dies öfter, dann solltest du die Signalstärke deiner WLAN-Verbindung überprüfen.
ErrorInvalidName	Der Server hat diesen Nutzernamen abgelehnt: {0}.
ErrorUnknown	Deine Verbindung zum Server wurde aufgrund eines unbekannten Problems getrennt.
ErrorIncorrectVersion	Du nutzt eine ältere Version der Software.\r\n\r\nBitte aktualisiere deine Version, um mit anderen spielen zu können.
	
ServerNA	Nordamerika
ServerEU	Europa
ServerAS	Asien
ServerSA	Südamerika
LangEnglish	English
LangFrench	Français
LangItalian	Italiano
LangGerman	Deutsch
LangSpanish	Español
LangSpanishLATAM	Español (Latinoamérica)
LangBrazPort	Português (Brasil)
LangPort	Português
LangRussian	Русский
LangJapanese	日本語
LangKorean	한국어
LangDutch	Nederlands
LangFilipino	Bisaya
PlayerName	Spieler
MyTablet	Mein Tablet
Headquarters	Hauptquartier
DownloadTestEstTimeS	Geschätzte Zeit: {0}s
DownloadTestEstTimeMS	Geschätzte Zeit: {0}m {1}s
DownloadTestEstTimeHMS	Geschätzte Zeit: {0}hr {1}m {2}s
DownloadTestEstTimeDHMS	Geschätzte Zeit: {0}d {1}hr {2}m {3}s
DownloadComplete	Fertig
GrabCoffee	HOL DIR EINE TASSE KAFFEE
TakeBreak	MACH EINE PAUSE
DontNeedWait	DU BRAUCHST NICHT ZU WARTEN
DoSomethingElse	MACH SOLANGE ETWAS ANDERES
NodeTB	Knoten_TB
NodeIRO	Knoten_IRO
NodeGI	Knoten_GI
NodePD	Knoten_PD
NodeCA	Knoten_CA
NodeMLG	Knoten_MLG
Vending	AUTOMAT
OtherLanguage	Andere
ImposterAmtAny	1-3
	
VitalsORGN	ORGN
VitalsBLUE	BLAU
VitalsRED	ROT
VitalsBRWN	BRN
VitalsGRN	GRÜN
VitalsPINK	PINK
VitalsWHTE	WSS
VitalsYLOW	GELB
VitalsBLAK	SW
VitalsPURP	LILA
VitalsCYAN	TRKS
VitalsLIME	LIM
ColorOrange	ORANGE
ColorBlue	BLAU
ColorRed	ROT
ColorBrown	BRAUN
ColorGreen	GRÜN
ColorPink	PINK
ColorWhite	WEISS
ColorYellow	GELB
ColorBlack	SCHWARZ
ColorPurple	LILA
ColorCyan	TÜRKIS
ColorLime	LIMETTE
ColorMaroon	ROTBRAUN
ColorRose	ROSÉ
ColorBanana	BANANE
ColorGray	GRAU
ColorTan	SAND
ColorCoral	KORALLE
MedID	ID:
MedC	F:
MedHT	GR:
MedBT	BG:
MedWT	GW:
MedETA	ETA {0}
MedHello	HALLO!
LobbySizeWarning	Among Us kann mit 4 Spielern gespielt \nwerden, aber 5 oder mehr Spieler werden empfohlen.\n\nRunden mit 4 Spielern sind schnell zu Ende, \nund der Verräter gewinnt dabei oft.
Okay	Okay
OkayDontShow	O. K., nicht mehr zeigen
Nevermind	Egal
CamEast	Osten
CamCentral	Mitte
CamNortheast	Nordosten
CamSouth	Süden
CamSouthwest	Südwest
CamNorthwest	Nordwesten
LoadingFailed	Laden fehlgeschlagen:
PetFailFetchData	Haustierdaten nicht abrufbar
BadResult	FEHLER
More	{0} MEHR
Processing	In Bearbeitung
ExitGame	Spiel verlassen
WaitingForHost	Warten auf Host
LeftGameError	{0} hat das Spiel wegen eines Fehlers verlassen.
PlayerWasBannedBy	{0} wurde von {1} gesperrt.
PlayerWasKickedBy	{0} wurde von {1} rausgeworfen.
Dummy	Dummy
Bad	FALSCH
Status	Status: 
Fine	RICHTIG
OK	OK
SecondsAbbv	{0}s
PetTryOn	Deine Auswahl!
DataPolicyWhat	Was wird gesammelt?
	
	
	
VaultRoom	Tresorraum
Cockpit	Cockpit
Armory	Arsenal
Kitchen	Küche
ViewingDeck	Aussichtsdeck
HallOfPortraits	Porträthalle
Medical	Arztpraxis
CargoBay	Laderaum
Ventilation	Lüftung
Showers	Duschen
Engine	Antriebsraum
Brig	Flur
MeetingRoom	Tagungsraum
Records	Archiv
Lounge	Lounge
GapRoom	Plattform
MainHall	Hauptflur
	
PolishRuby	Rubin polieren
ResetBreakers	Schalter zurückstellen
Decontaminate	Dekontaminieren
MakeBurger	Burger machen
UnlockSafe	Safe öffnen
SortRecords	Archiv sortieren
PutAwayPistols	Pistolen verstauen
PutAwayRifles	Gewehre verstauen
FixShower	Dusche reparieren
CleanToilet	Toilette putzen
DressMannequin	Puppe anziehen
PickUpTowels	Handtücher aufsammeln
RewindTapes	Kassetten zurückspulen
StartFans	Ventilatoren starten
DevelopPhotos	Fotos entwickeln
GetBiggolSword	Biggol-Schwert holen
StopCharles	Unfall verhindern
	
RevealCode	Code aufdecken
DirtyHeader	SCHMUTZIG
AuthLeftOkay	Linke Seite OK
AuthRightOkay	Rechte Seite OK
AuthLeftActive	Linke Seite AKTIV
AuthRightActive	Rechte Seite AKTIV
AuthLeftNotActive	Linke Seite NICHT AKTIV
AuthRightNotActive	Rechte Seite NICHT AKTIV
EngagementScreen	Zum Start beliebigen Button drücken.
DeleteButton	Löschen
QuickChat	Quick-Chat
QCLocationLaptop	Laptop
QCLocationSkeld	Skeld
QCLocationMira	Mira 
QCLocationPolus	Polus
QCSystemsStart	Start
QCSystemsKick	Raus
QCCrewI	Ich
QCCrewMe	mich/mir
QCCrewNoOne	Niemand
QCAccAKilledB	{0} tötete {1}
QCAccAKilledBNeg	{0} tötete {1} nicht
QCAccAIsSuspicious	{0} ist verdächtig
QCAccAIsSuspiciousNeg	{0} ist harmlos
QCAccASawBVent	{0} hat {1} in einem Schacht gesehen.
QCAccASawBVentNeg	{0} hat {1} nicht in einem Schacht gesehen.
QCAccAWasChasingB	{0} verfolgte {1}.
QCAccAWasChasingBNeg	{0} verfolgte {1} nicht.
QCAccAIsLying	{0} lügt.
QCAccAIsLyingNeg	{0} sagt die Wahrheit.
QCAccVoteA	Stimme für {0}.
QCAccVoteANeg	Keine Stimme für {0}.
QCAccADidntReport	{0} meldete die Leiche nicht.
QCResYes	Ja
QCResNo	Nein
QCResDontKnow	Ich weiß nicht.
QCResDontKnowNeg	Vielleicht
QCResAWas	{0} war
QCResAWasNeg	{0} war nicht
QCResADid	{0} tat
QCResADidNeg	{0} tat nicht
QCResVote	Abstimmen
QCResVoteNeg	Abstimmung überspringen
QCResAWasAtB	{0} war bei {1}
QCResAWasAtBNeg	{0} war nicht bei {1}
QCResRip	RIP
QCResRipNeg	Wirf
QCResLies	Lüge
QCResLiesNeg	Okay
QCQstWhere	Wo?
QCQstWho	Wer?
QCQstWhoWasWith	Wer war bei {0}?
QCQstWhatWasADoing	Was tat {0}?
QCQstWhoFixedA	Wer reparierte {0}?
QCQstWhereWasA	Wo war {0}?
QCQstBodyOrMeeting	War das eine Leiche oder ein Notfall-Meeting?
QCStaASawB	{0} sah {1}.
QCStaAWasWithB	{0} war bei {1}.
QCStaADidB	{0} erledigte {1}.
QCStaASelfReported	{0} meldete sich selbst.
QCStaDoubleKill	Es war ein Doppelmord.
QCStaWasSelfReport	Es war eine Selbstmeldung.
QCStaPleaseDoTasks	Bitte erfüll deine Aufgaben.
QCStaBodyWasInA	Die Leiche war in {0}.
QCStaACalledMeeting	{0} berief ein Meeting ein.
QCLocation	Ort
QCSystems	Systeme
QCCrew	Besatzung
QCAccusation	Anklage
QCResponse	Antwort
QCQuestion	Frage
QCStatements	Aussagen
ChatType	Chat-Typ
QuickChatOnly	Nur Quick-Chat
FreeChatOnly	Nur Free-Chat
FreeOrQuickChat	Free- oder Quick-Chat
DateOfBirth	Geburtsdatum
DateOfBirthEnter	Bitte gib dein Geburtsdatum ein:
Month	Monat:
Day	Tag:
Year	Jahr:
January	Januar
February	Februar
March	März
April	April
May	Mai
June	Juni
July	Juli
August	August
September	September
October	Oktober
November	November
December	Dezember
Submit	Senden
	
QCAccAKilledB_QCCrewMe_ANY	Ich habe {1} getötet.
QCAccAKilledB_QCCrewMe_QCCrewNoOne	Ich habe niemanden getötet.
QCAccAKilledB_QCCrewMe_QCCrewMe	
QCAccAKilledB_ANY_QCCrewMe	{0} hat mich getötet.
QCAccAKilledB	{0} hat {1} getötet.
QCAccAKilledB_ANY_QCCrewNoOne	{0} hat niemanden getötet.
QCAccAKilledB_QCCrewNoOne_QCCrewMe	Niemand hat mich getötet.
QCAccAKilledB_QCCrewNoOne_ANY	Niemand hat {1} getötet.
QCAccAKilledB_QCCrewNoOne_QCCrewNoOne	Niemand hat jemanden getötet.
QCAccAKilledBNeg_QCCrewMe_ANY	Ich habe {1} nicht getötet.
QCAccAKilledBNeg_QCCrewMe_QCCrewNoOne	Ich habe niemanden getötet.
QCAccAKilledBNeg_QCCrewMe_QCCrewMe	Ich habe mich nicht selbst getötet.
QCAccAKilledBNeg_ANY_QCCrewMe	{0} hat mich nicht getötet.
QCAccAKilledBNeg	{0} hat {1} nicht getötet.
QCAccAKilledBNeg_ANY_QCCrewNoOne	{0} hat niemanden getötet.
QCAccAKilledBNeg_QCCrewNoOne_QCCrewMe	
QCAccAKilledBNeg_QCCrewNoOne_ANY	
QCAccAKilledBNeg_QCCrewNoOne_QCCrewNoOne	
QCAccAIsSuspicious_QCCrewMe	Ich bin verdächtig.
QCAccAIsSuspicious	{0} ist verdächtig.
QCAccAIsSuspicious_QCCrewNoOne	Niemand ist verdächtig.
QCAccAIsSuspiciousNeg_QCCrewMe	Ich bin harmlos.
QCAccAIsSuspiciousNeg	{0} ist harmlos.
QCAccAIsSuspiciousNeg_QCCrewNoOne	Alle sind gefährlich.
QCAccASawBVent_QCCrewMe_ANY	Ich habe {1} in einem Schacht gesehen.
QCAccASawBVent_QCCrewMe_QCCrewNoOne	Ich habe niemanden in einem Schacht gesehen.
QCAccASawBVent_QCCrewMe_QCCrewMe	
QCAccASawBVent_ANY_QCCrewMe	{0} hat mich in einem Schacht sehen.
QCAccASawBVent	{0} hat {1} in einem Schacht gesehen.
QCAccASawBVent_ANY_QCCrewNoOne	{0} hat niemanden in einem Schacht gesehen.
QCAccASawBVent_QCCrewNoOne_QCCrewMe	Niemand hat mich in einem Schacht gesehen.
QCAccASawBVent_QCCrewNoOne_ANY	Niemand hat {1} in einem Schacht gesehen.
QCAccASawBVent_QCCrewNoOne_QCCrewNoOne	Niemand hat jemanden in einem Schacht gesehen.
QCAccASawBVentNeg_QCCrewMe_ANY	Ich habe {1} nie in einem Schacht gesehen.
QCAccASawBVentNeg_QCCrewMe_QCCrewNoOne	Ich habe nie jemanden in einem Schacht gesehen.
QCAccASawBVentNeg_QCCrewMe_QCCrewMe	
QCAccASawBVentNeg_ANY_QCCrewMe	{0} hat mich nie in einem Schacht gesehen.
QCAccASawBVentNeg	{0} hat {1} nie in einem Schacht gesehen.
QCAccASawBVentNeg_ANY_QCCrewNoOne	{0} hat nie jemanden in einem Schacht gesehen.
