KEY ID	French
ErrorKicked	Vous avez été expulsé de {0}.\r\n\r\nVous pouvez rejoindre les hostilités si le salon n'a pas démarré.
ErrorBannedNoCode	Vous avez été banni du salon.\r\n\r\nVous ne pouvez pas rejoindre ce salon.
ErrorKickedNoCode	Vous avez été expulsé du salon.\r\n\r\nVous pouvez rejoindre les hostilités si le salon n'a pas démarré.
ErrorHacking	Vous avez été banni pour piratage.\r\n\r\nVeuillez arrêter.
ErrorFullGame	La partie que vous essayez d'intégrer est saturée.\r\n\r\nDemandez à l'hôte si vous pouvez rejoindre la partie lors de la prochaine manche.
ErrorStartedGame	La partie que vous essayez d'intégrer a déjà commencé.\r\n\r\nDemandez à l'hôte si vous pouvez rejoindre la partie lors de la prochaine manche.
ErrorNotFoundGame	Impossible de localiser la partie que vous recherchez.
ErrorInactivity	Le serveur a mis fin à cette partie, peut-être en raison d'inactivité.
ErrorGenericOnlineDisconnect	Vous avez été déconnecté du serveur.\r\nSi cela se produit souvent, consultez la force de votre réseau.\r\nIl peut également s'agir d'un problème de serveur.
ErrorGenericLocalDisconnect	Vous avez été déconnecté du serveur.\r\n\r\nSi cela se produit souvent, consultez la force de votre Wi-Fi.
ErrorInvalidName	Nom d'utilisateur refusé par le serveur : {0}
ErrorUnknown	Une erreur inconnue vous a déconnecté du serveur.
ErrorIncorrectVersion	Vous exécutez une version obsolète du jeu.\r\n\r\nVeuillez effectuer la mise à jour pour jouer avec d'autres joueurs.
	
ServerNA	Amérique du Nord
ServerEU	Europe
ServerAS	Asie
ServerSA	Amérique du Sud
LangEnglish	English
LangFrench	Français
LangItalian	Italiano
LangGerman	Deutsch
LangSpanish	Español
LangSpanishLATAM	Español (Latinoamérica)
LangBrazPort	Português (Brasil)
LangPort	Português
LangRussian	Русский
LangJapanese	日本語
LangKorean	한국어
LangDutch	Nederlands
LangFilipino	Bisaya
PlayerName	Joueur
MyTablet	Ma tablette
Headquarters	QG
DownloadTestEstTimeS	Temps estimé : {0}s
DownloadTestEstTimeMS	Temps estimé : {0}m {1}s
DownloadTestEstTimeHMS	Temps estimé : {0}hr {1}m {2}s
DownloadTestEstTimeDHMS	Temps estimé : {0}d {1}hr {2}m {3}s
DownloadComplete	Terminé
GrabCoffee	ALLEZ VOUS FAIRE UN CAFÉ
TakeBreak	FAITES UNE PAUSE
DontNeedWait	VOUS POUVEZ NE PAS ATTENDRE
DoSomethingElse	ALLEZ FAIRE UN TOUR
NodeTB	Nœud_TB
NodeIRO	Nœud_IRO
NodeGI	Nœud_GI
NodePD	Nœud_PD
NodeCA	Nœud_CA
NodeMLG	Nœud_MLG
Vending	EN COURS
OtherLanguage	Autre
ImposterAmtAny	1-3
	
VitalsORGN	ORGN
VitalsBLUE	BLEU
VitalsRED	ROUGE
VitalsBRWN	MARN
VitalsGRN	VRT
VitalsPINK	ROSE
VitalsWHTE	BLNC
VitalsYLOW	JNE
VitalsBLAK	NOIR
VitalsPURP	VIO
VitalsCYAN	CYAN
VitalsLIME	CIT
ColorOrange	ORANGE
ColorBlue	BLEU
ColorRed	ROUGE
ColorBrown	MARRON
ColorGreen	VERT
ColorPink	ROSE
ColorWhite	BLANC
ColorYellow	JAUNE
ColorBlack	NOIR
ColorPurple	VIOLET
ColorCyan	CYAN
ColorLime	CITRON
ColorMaroon	BORDEAUX
ColorRose	CHAIR
ColorBanana	BANANE
ColorGray	GRIS
ColorTan	BRONZÉ
ColorCoral	CORAIL
MedID	ID :
MedC	C :
MedHT	T :
MedBT	GS :
MedWT	P :
MedETA	ETA : {0}
MedHello	BONJOUR !
LobbySizeWarning	Among Us est jouable à 4 joueurs, mais il est recommandé d'y jouer à 5 joueurs ou plus.\n\nLes parties à 4 joueurs finissent vite et généralement, l'imposteur gagne.
Okay	OK
OkayDontShow	OK, ne plus afficher
Nevermind	Peu importe
CamEast	Est
CamCentral	Central
CamNortheast	Nord-Est
CamSouth	Sud
CamSouthwest	Sud-Ouest
CamNorthwest	Nord-Ouest
LoadingFailed	Échec du chargement :
PetFailFetchData	Données de la bestiole irrécupérables
BadResult	ERREUR
More	{0} DE PLUS
Processing	En traitement
ExitGame	Quitter la partie
WaitingForHost	En attente de l'hôte
LeftGameError	{0} a quitté la partie à cause d'une erreur.
PlayerWasBannedBy	{0} a été banni par {1}
PlayerWasKickedBy	{0} a été expulsé par {1}
Dummy	Mannequin
Bad	MAUVAIS
Status	Statut : 
Fine	BON
OK	OK
SecondsAbbv	{0}s
PetTryOn	Essayez quelque chose !
DataPolicyWhat	Que collecte-t-on ?
	
	
	
VaultRoom	Chambre forte
Cockpit	Cockpit
Armory	Armurerie
Kitchen	Cuisine
ViewingDeck	Poste d'obs.
HallOfPortraits	Salle des portraits
Medical	Médical
CargoBay	Soute
Ventilation	Ventilation
Showers	Douches
Engine	Moteurs
Brig	Cellules
MeetingRoom	Salle de réunion
Records	Archives
Lounge	Salon
GapRoom	Plateforme
MainHall	Couloir central
	
PolishRuby	Polir rubis
ResetBreakers	Réinitialiser disjoncteurs
Decontaminate	Désinfecter
MakeBurger	Préparer burger
UnlockSafe	Déverr. coffre
SortRecords	Classer dossiers
PutAwayPistols	Ranger pistolets
PutAwayRifles	Ranger fusils
FixShower	Réparer douche
CleanToilet	Déboucher toilettes
DressMannequin	Habiller mannequin
PickUpTowels	Ramasser serviettes
RewindTapes	Rembobiner cassettes
StartFans	Démarrer ventilation
DevelopPhotos	Développer photos
GetBiggolSword	Obtenir l'épée Biggol
StopCharles	Éviter la collision
	
RevealCode	Révéler code
DirtyHeader	SALE
AuthLeftOkay	Côté gauche OK
AuthRightOkay	Côté droit OK
AuthLeftActive	Côté gauche ACTIF
AuthRightActive	Côté droit ACTIF
AuthLeftNotActive	Côté gauche NON ACTIF
AuthRightNotActive	Côté droit NON ACTIF
EngagementScreen	Appuyer sur un bouton.
DeleteButton	Supprimer
QuickChat	Chat rapide
QCLocationLaptop	Portable
QCLocationSkeld	Skeld
QCLocationMira	Mira 
QCLocationPolus	Polus
QCSystemsStart	Démarrer
QCSystemsKick	Expulser
QCCrewI	Je
QCCrewMe	Moi
QCCrewNoOne	Personne
QCAccAKilledB	{0} a tué {1}
QCAccAKilledBNeg	{0} n'a pas tué {1}
QCAccAIsSuspicious	{0} est suspect(e)
QCAccAIsSuspiciousNeg	{0} est clean
QCAccASawBVent	{0} a vu {1} dans un conduit
QCAccASawBVentNeg	{0} n'a jamais vu {1} dans un conduit
QCAccAWasChasingB	{0} poursuivait {1}
QCAccAWasChasingBNeg	{0} ne poursuivait pas {1}
QCAccAIsLying	{0} ment
QCAccAIsLyingNeg	{0} dit la vérité
QCAccVoteA	Votez contre {0}
QCAccVoteANeg	Ne votez pas contre {0}
QCAccADidntReport	{0} n'a pas signalé\n le corps
QCResYes	Oui
QCResNo	Non
QCResDontKnow	Je ne sais pas
QCResDontKnowNeg	Peut-être
QCResAWas	C'était {0}
QCResAWasNeg	Ce n'était pas {0}
QCResADid	{0} l'a fait
QCResADidNeg	{0} ne l'a pas fait
QCResVote	Votez
QCResVoteNeg	Passez vote
QCResAWasAtB	{0} était ici : {1}
QCResAWasAtBNeg	{0} n'était pas ici : {1}
QCResRip	RIP
QCResRipNeg	Alleeez !
QCResLies	Mensonges
QCResLiesNeg	OK
QCQstWhere	Où ?
QCQstWho	Qui ?
QCQstWhoWasWith	Qui était avec {0} ?
QCQstWhatWasADoing	Qu'est-ce que {0} faisait ?
QCQstWhoFixedA	Qui a réparé : {0} ?
QCQstWhereWasA	Où était {0} ?
QCQstBodyOrMeeting	Était-ce un corps ou une réunion d'urgence ?
QCStaASawB	{0} a vu {1}
QCStaAWasWithB	{0} était avec {1}
QCStaADidB	{0} a fait : {1}
QCStaASelfReported	{0} a auto-signalé
QCStaDoubleKill	C'était un double\n meurtre
QCStaWasSelfReport	C'était un auto-signalement
QCStaPleaseDoTasks	Accomplissez vos tâches
QCStaBodyWasInA	Le corps était ici : {0}
QCStaACalledMeeting	{0} a demandé une réunion
QCLocation	Lieu
QCSystems	Systèmes
QCCrew	Équipage
QCAccusation	Accusation
QCResponse	Réponse
QCQuestion	Question
QCStatements	Déclarations
ChatType	Type de chat
QuickChatOnly	Chat rapide uniquement
FreeChatOnly	Chat libre uniquement
FreeOrQuickChat	Chat libre ou rapide
DateOfBirth	Date de naissance
DateOfBirthEnter	Veuillez saisir votre date de naissance :
Month	Mois :
Day	Jour :
Year	Année :
January	Janvier
February	Février
March	Mars
April	Avril
May	Mai
June	Juin
July	Juillet
August	Août
September	Septembre
October	Octobre
November	Novembre
December	Décembre
Submit	Soumettre
	
QCAccAKilledB_QCCrewMe_ANY	J'ai tué {1}
QCAccAKilledB_QCCrewMe_QCCrewNoOne	Je n'ai tué personne
QCAccAKilledB_QCCrewMe_QCCrewMe	
QCAccAKilledB_ANY_QCCrewMe	{0} m'a tué
QCAccAKilledB	{0} a tué {1}
QCAccAKilledB_ANY_QCCrewNoOne	{0} n'a tué personne
QCAccAKilledB_QCCrewNoOne_QCCrewMe	Personne ne m'a tué
QCAccAKilledB_QCCrewNoOne_ANY	Personne n'a tué {1}
QCAccAKilledB_QCCrewNoOne_QCCrewNoOne	Personne n'a tué quiconque
QCAccAKilledBNeg_QCCrewMe_ANY	Je n'ai pas tué {1}
QCAccAKilledBNeg_QCCrewMe_QCCrewNoOne	Je n'ai tué personne
QCAccAKilledBNeg_QCCrewMe_QCCrewMe	Je ne me suis pas tué
QCAccAKilledBNeg_ANY_QCCrewMe	{0} ne m'a pas tué
QCAccAKilledBNeg	{0} n'a pas tué {1}
QCAccAKilledBNeg_ANY_QCCrewNoOne	{0} n'a tué personne
QCAccAKilledBNeg_QCCrewNoOne_QCCrewMe	
QCAccAKilledBNeg_QCCrewNoOne_ANY	
QCAccAKilledBNeg_QCCrewNoOne_QCCrewNoOne	
QCAccAIsSuspicious_QCCrewMe	Je suis suspect
QCAccAIsSuspicious	{0} est suspect
QCAccAIsSuspicious_QCCrewNoOne	Personne n'est suspect
QCAccAIsSuspiciousNeg_QCCrewMe	Je suis clean
QCAccAIsSuspiciousNeg	{0} est clean
QCAccAIsSuspiciousNeg_QCCrewNoOne	Personne n'est clean
QCAccASawBVent_QCCrewMe_ANY	J'ai vu {1} dans un conduit
QCAccASawBVent_QCCrewMe_QCCrewNoOne	Je n'ai vu personne dans un conduit
QCAccASawBVent_QCCrewMe_QCCrewMe	
QCAccASawBVent_ANY_QCCrewMe	{0} m'a vu dans un conduit
QCAccASawBVent	{0} a vu {1} dans un conduit
QCAccASawBVent_ANY_QCCrewNoOne	{0} n'a vu personne dans un conduit
QCAccASawBVent_QCCrewNoOne_QCCrewMe	Personne ne m'a vu dans un conduit
QCAccASawBVent_QCCrewNoOne_ANY	Personne n'a vu {1} dans un conduit
QCAccASawBVent_QCCrewNoOne_QCCrewNoOne	Personne n'a vu quiconque dans un conduit
QCAccASawBVentNeg_QCCrewMe_ANY	Je n'ai jamais vu {1} dans un conduit
QCAccASawBVentNeg_QCCrewMe_QCCrewNoOne	Je n'ai jamais vu quiconque dans un conduit
QCAccASawBVentNeg_QCCrewMe_QCCrewMe	
QCAccASawBVentNeg_ANY_QCCrewMe	{0} ne m'a jamais vu dans un conduit
QCAccASawBVentNeg	{0} n'a jamais vu {1} dans un conduit
QCAccASawBVentNeg_ANY_QCCrewNoOne	{0} n'a jamais vu quiconque dans un conduit
QCAccASawBVentNeg_QCCrewNoOne_QCCrewMe	Personne ne m'a jamais vu dans un conduit
QCAccASawBVentNeg_QCCrewNoOne_ANY	Personne n'a jamais vu {1} dans un conduit
QCAccASawBVentNeg_QCCrewNoOne_QCCrewNoOne	Personne n'a jamais vu quiconque dans un conduit
QCAccAWasChasingB_QCCrewMe_ANY	Je poursuivais {1}
QCAccAWasChasingB_QCCrewMe_QCCrewNoOne	Je ne poursuivais personne
QCAccAWasChasingB_QCCrewMe_QCCrewMe	
QCAccAWasChasingB_ANY_QCCrewMe	{0} me poursuivait
QCAccAWasChasingB	{0} poursuivait {1}
QCAccAWasChasingB_ANY_QCCrewNoOne	{0} ne poursuivait personne
QCAccAWasChasingB_QCCrewNoOne_QCCrewMe	Personne ne me poursuivait
QCAccAWasChasingB_QCCrewNoOne_ANY	Personne ne poursuivait {1}
QCAccAWasChasingB_QCCrewNoOne_QCCrewNoOne	Personne ne poursuivait quiconque
QCAccAWasChasingBNeg_QCCrewMe_ANY	Je ne poursuivais pas {1}
